rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,884085,花掉马斯克的金钱,7.3,218494,205699,12795,214976,202433,12543,130,123,7,0,0,0,15,🟢 自然增长为主
2,860950,翡翠经营模拟器,8.9,880162,875012,5150,807156,802685,4471,1735,1724,11,0,0,0,0,✅ 自然增长
3,899626,判卷捞人,8.0,32018,28402,3616,30589,27141,3448,43,36,7,0,0,0,0,✅ 自然增长
4,873826,训练前额叶,9.6,183178,180256,2922,172838,170088,2750,606,595,11,0,0,0,0,✅ 自然增长
5,866286,足球经理：冠军之路,9.3,77686,74926,2760,69948,67467,2481,570,551,19,0,0,0,0,✅ 自然增长
6,898983,外卖单王模拟器,8.4,5755,3062,2693,5459,2883,2576,26,20,6,0,0,0,0,✅ 自然增长
7,848057,灵瞳觉醒：横扫古董市场,7.8,118755,116100,2655,102075,99791,2284,323,321,2,0,0,0,15,🟢 自然增长为主
8,840742,SBTI人格测试,8.3,762868,760246,2622,739541,737219,2322,1187,1175,12,0,0,0,0,✅ 自然增长
9,837881,伪人超市,7.0,96761,94160,2601,97541,94936,2605,77,76,1,0,0,0,15,🟢 自然增长为主
10,867071,翡翠传奇：赌石人生模拟,8.8,91372,88986,2386,84232,82023,2209,415,411,4,0,0,0,0,✅ 自然增长
11,838249,真实外卖模拟器,7.7,241699,239322,2377,226975,224849,2126,403,401,2,0,0,0,15,🟢 自然增长为主
12,838601,开局觉醒超神级天赋,8.5,104504,102288,2216,88145,86262,1883,156,155,1,0,0,0,15,🟢 自然增长为主
13,892137,我的火比你的更大,9.0,60288,58236,2052,55992,54133,1859,223,218,5,0,0,0,0,✅ 自然增长
14,895177,废车拆出一个亿,8.6,14325,12466,1859,13228,11531,1697,30,30,0,0,0,0,30,🟢 自然增长为主
15,899625,静心拼图,8.1,17705,15855,1850,17019,15260,1759,55,51,4,0,0,0,0,✅ 自然增长
16,861470,天机六爻,9.1,136072,134236,1836,127386,125677,1709,342,340,2,0,0,0,0,✅ 自然增长
17,884513,指点江山,8.0,28459,26725,1734,26305,24721,1584,199,189,10,0,0,0,0,✅ 自然增长
18,874896,匡扶汉室,9.0,36043,34325,1718,32179,30647,1532,207,201,6,0,0,0,0,✅ 自然增长
19,863515,边境检查站,7.1,151693,150066,1627,148785,147235,1550,121,121,0,0,0,0,30,🟢 自然增长为主
20,875570,人生副本,6.3,46365,44801,1564,45221,43668,1553,56,56,0,0,0,0,30,🟢 自然增长为主
21,898562,诡异复苏,7.9,31720,30224,1496,29508,28102,1406,127,125,2,0,0,0,0,✅ 自然增长
22,895544,伐木模拟器,8.9,33320,31828,1492,29014,27734,1280,98,98,0,0,0,0,30,🟢 自然增长为主
23,880097,灵异直播间,8.7,45475,44080,1395,39875,38655,1220,232,230,2,0,0,0,0,✅ 自然增长
24,912415,上岸乡镇后,5.8,2189,804,1385,2065,756,1309,23,17,6,0,0,0,0,✅ 自然增长
25,892961,末日囤货计划,8.8,22984,21620,1364,20908,19690,1218,124,118,6,0,0,0,0,✅ 自然增长
26,885492,FPS练枪模拟器,7.4,27949,26611,1338,28614,27232,1382,22,20,2,0,0,0,0,✅ 自然增长
27,842892,心理测试大全,9.5,19027,17694,1333,18196,16917,1279,46,43,3,0,0,0,0,✅ 自然增长
28,827624,每日塔罗,8.3,200621,199331,1290,189774,188626,1148,215,215,0,0,0,0,30,🟢 自然增长为主
29,884773,细胞变异模拟器,8.2,38906,37620,1286,34742,33596,1146,54,53,1,0,0,0,15,🟢 自然增长为主
30,880247,百世家族·轮回修仙,7.7,31707,30442,1265,28014,26897,1117,175,174,1,0,0,0,15,🟢 自然增长为主
31,848359,无限合成进化系统,6.7,61073,59811,1262,50199,49259,940,96,96,0,0,0,0,30,🟢 自然增长为主
32,840185,愚公移山,8.8,80034,78774,1260,68283,67260,1023,388,388,0,0,0,0,30,🟢 自然增长为主
33,894446,咯咯哒农场,8.4,17645,16399,1246,15831,14759,1072,103,98,5,0,0,0,0,✅ 自然增长
34,834152,大有可为：从零开始,8.5,37354,36143,1211,31252,30185,1067,300,293,7,0,0,0,0,✅ 自然增长
35,901050,推理密码,9.5,22564,21359,1205,21199,20085,1114,44,44,0,0,0,0,30,🟢 自然增长为主
36,879125,仙苗鉴定师,7.9,57758,56559,1199,50590,49551,1039,154,153,1,0,0,0,15,🟢 自然增长为主
37,867801,地府打工魂,7.7,31253,30056,1197,24927,23989,938,129,128,1,0,0,0,15,🟢 自然增长为主
38,861124,虾仁冒险记,7.5,23587,22398,1189,18966,18023,943,49,48,1,0,0,0,15,🟢 自然增长为主
39,891653,木筏生存：抛与钓,8.5,22099,20927,1172,19570,18518,1052,86,83,3,0,0,0,0,✅ 自然增长
40,866971,篮球传奇：球星生涯模拟器,8.8,50382,49257,1125,45969,44933,1036,187,187,0,0,0,0,30,🟢 自然增长为主
41,857828,WHISTLES 裁判模拟,8.2,66184,65070,1114,63884,62825,1059,133,133,0,0,0,0,30,🟢 自然增长为主
42,876002,越跳越有钱,7.9,79831,78723,1108,69100,68162,938,489,490,-1,0,0,0,30,🟢 自然增长为主
43,893357,养成之星河与共,9.5,4907,3799,1108,4557,3525,1032,16,16,0,0,0,0,30,🟢 自然增长为主
44,911001,仙缘模拟器,8.6,2748,1661,1087,2402,1469,933,26,23,3,0,0,0,0,✅ 自然增长
45,910123,挥剑一亿次,9.7,1632,546,1086,1412,477,935,13,9,4,0,0,0,0,✅ 自然增长
