rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,884085,花掉马斯克的金钱,7.4,243369,231051,12318,239343,227250,12093,144,135,9,0,0,0,15,🟢 自然增长为主
2,860950,翡翠经营模拟器,8.9,890246,885380,4866,815860,811673,4187,1752,1742,10,0,0,0,0,✅ 自然增长
3,898983,外卖单王模拟器,8.4,13349,9587,3762,12703,9157,3546,41,29,12,0,0,0,0,✅ 自然增长
4,873826,训练前额叶,9.6,189702,186239,3463,178945,175684,3261,634,619,15,0,0,0,0,✅ 自然增长
5,899626,判卷捞人,8.1,38647,35586,3061,36887,33989,2898,47,44,3,0,0,0,15,🟢 自然增长为主
6,840742,SBTI人格测试,8.3,768341,765708,2633,744472,742086,2386,1201,1192,9,0,0,0,0,✅ 自然增长
7,848057,灵瞳觉醒：横扫古董市场,7.8,123576,121162,2414,106051,104046,2005,326,325,1,0,0,0,15,🟢 自然增长为主
8,837881,伪人超市,7.0,101717,99311,2406,102600,100161,2439,78,78,0,0,0,0,30,🟢 自然增长为主
9,838601,开局觉醒超神级天赋,8.6,108638,106515,2123,91599,89789,1810,161,157,4,0,0,0,0,✅ 自然增长
10,838249,真实外卖模拟器,7.7,245950,243881,2069,230673,228887,1786,405,404,1,0,0,0,15,🟢 自然增长为主
11,867071,翡翠传奇：赌石人生模拟,8.7,95731,93675,2056,88158,86337,1821,433,424,9,0,0,0,0,✅ 自然增长
12,892137,我的火比你的更大,9.0,64046,62319,1727,59392,57826,1566,235,228,7,0,0,0,0,✅ 自然增长
13,884513,指点江山,8.2,31986,30273,1713,29488,27950,1538,210,207,3,0,0,0,0,✅ 自然增长
14,895177,废车拆出一个亿,8.5,17769,16086,1683,16419,14854,1565,32,31,1,0,0,0,15,🟢 自然增长为主
15,892961,末日囤货计划,8.8,26061,24392,1669,23677,22157,1520,128,127,1,0,0,0,15,🟢 自然增长为主
16,863515,边境检查站,7.1,154939,153292,1647,151916,150336,1580,123,121,2,0,0,0,0,✅ 自然增长
17,874896,匡扶汉室,9.0,39420,37788,1632,35167,33728,1439,212,211,1,0,0,0,15,🟢 自然增长为主
18,866286,足球经理：冠军之路,9.4,81403,79847,1556,73195,71855,1340,593,586,7,0,0,0,0,✅ 自然增长
19,899625,静心拼图,8.1,21202,19665,1537,20341,18889,1452,61,59,2,0,0,0,0,✅ 自然增长
20,907099,台风囤货生存,8.2,5479,3955,1524,5240,3766,1474,10,7,3,0,0,0,0,✅ 自然增长
21,861470,天机六爻,9.1,139322,137836,1486,130392,129021,1371,347,344,3,0,0,0,0,✅ 自然增长
22,842892,心理测试大全,9.3,21931,20446,1485,20964,19549,1415,52,49,3,0,0,0,0,✅ 自然增长
23,880097,灵异直播间,8.7,48366,46899,1467,42405,41140,1265,238,235,3,0,0,0,0,✅ 自然增长
24,885492,FPS练枪模拟器,7.4,30704,29250,1454,31507,29978,1529,22,22,0,0,0,0,30,🟢 自然增长为主
25,895544,伐木模拟器,9.0,36369,34927,1442,31598,30397,1201,101,99,2,0,0,0,0,✅ 自然增长
26,875570,人生副本,6.4,49317,47915,1402,48145,46750,1395,59,57,2,0,0,0,0,✅ 自然增长
27,848359,无限合成进化系统,6.5,63608,62220,1388,52154,51057,1097,101,97,4,0,0,0,0,✅ 自然增长
28,898562,诡异复苏,7.9,34618,33308,1310,32196,30970,1226,136,131,5,0,0,0,0,✅ 自然增长
29,894446,咯咯哒农场,8.5,20294,18995,1299,18133,17009,1124,111,108,3,0,0,0,0,✅ 自然增长
