rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,884085,花掉马斯克的金钱,7.4,150389,136923,13466,148023,134813,13210,94,87,7,0,0,0,15,🟢 自然增长为主
2,860950,翡翠经营模拟器,8.9,856124,851724,4400,786436,782673,3763,1699,1688,11,0,0,0,0,✅ 自然增长
3,840742,SBTI人格测试,8.3,748746,745423,3323,726957,723964,2993,1154,1149,5,0,0,0,0,✅ 自然增长
4,899626,判卷捞人,7.8,10629,7584,3045,10192,7251,2941,19,15,4,0,0,0,0,✅ 自然增长
5,873826,训练前额叶,9.7,168624,165645,2979,159122,156307,2815,561,551,10,0,0,0,0,✅ 自然增长
6,837881,伪人超市,7.1,83808,81168,2640,84367,81721,2646,72,70,2,0,0,0,15,🟢 自然增长为主
7,901050,推理密码,9.6,15360,13046,2314,14499,12306,2193,35,32,3,0,0,0,0,✅ 自然增长
8,825840,百世流芳,9.0,51276,48974,2302,42289,40126,2163,500,494,6,0,0,0,0,✅ 自然增长
9,838249,真实外卖模拟器,7.6,229427,227170,2257,215963,213963,2000,393,391,2,0,0,0,15,🟢 自然增长为主
10,892137,我的火比你的更大,8.9,50577,48366,2211,47131,45063,2068,202,194,8,0,0,0,0,✅ 自然增长
11,895177,废车拆出一个亿,8.1,4497,2527,1970,4140,2353,1787,17,11,6,0,0,0,0,✅ 自然增长
12,899625,静心拼图,8.9,8459,6548,1911,8162,6279,1883,22,19,3,0,0,0,0,✅ 自然增长
13,891359,放置戴森球,9.8,2214,322,1892,1930,274,1656,18,2,16,0,0,0,0,✅ 自然增长
14,848359,无限合成进化系统,6.5,53528,51671,1857,44270,42794,1476,91,90,1,0,0,0,15,🟢 自然增长为主
15,848057,灵瞳觉醒：横扫古董市场,7.8,108143,106304,1839,93030,91512,1518,314,313,1,0,0,0,15,🟢 自然增长为主
16,838601,开局觉醒超神级天赋,8.4,95906,94155,1751,81028,79602,1426,151,149,2,0,0,0,0,✅ 自然增长
17,905479,暴雨末日,8.7,3106,1416,1690,2865,1292,1573,28,21,7,0,0,0,0,✅ 自然增长
18,884513,指点江山,7.8,21368,19863,1505,19786,18377,1409,146,135,11,0,0,0,0,✅ 自然增长
19,867071,翡翠传奇：赌石人生模拟,8.7,80398,78919,1479,74143,72743,1400,386,376,10,0,0,0,0,✅ 自然增长
20,863515,边境检查站,7.1,143845,142384,1461,141206,139798,1408,119,118,1,0,0,0,15,🟢 自然增长为主
21,861470,天机六爻,9.1,127582,126139,1443,119441,118128,1313,321,321,0,0,0,0,30,🟢 自然增长为主
