rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,884085,花掉马斯克的金钱,7.4,231051,218494,12557,227250,214976,12274,135,130,5,0,0,0,15,🟢 自然增长为主
2,860950,翡翠经营模拟器,8.9,885380,880162,5218,811673,807156,4517,1742,1735,7,0,0,0,0,✅ 自然增长
3,898983,外卖单王模拟器,8.3,9587,5755,3832,9157,5459,3698,29,26,3,0,0,0,15,🟢 自然增长为主
4,899626,判卷捞人,8.0,35586,32018,3568,33989,30589,3400,44,43,1,0,0,0,30,🟢 自然增长为主
5,873826,训练前额叶,9.6,186239,183178,3061,175684,172838,2846,619,606,13,0,0,0,0,✅ 自然增长
6,840742,SBTI人格测试,8.3,765708,762868,2840,742086,739541,2545,1192,1187,5,0,0,0,0,✅ 自然增长
7,837881,伪人超市,7.0,99311,96761,2550,100161,97541,2620,78,77,1,0,0,0,15,🟢 自然增长为主
8,848057,灵瞳觉醒：横扫古董市场,7.8,121162,118755,2407,104046,102075,1971,325,323,2,0,0,0,15,🟢 自然增长为主
9,867071,翡翠传奇：赌石人生模拟,8.7,93675,91372,2303,86337,84232,2105,424,415,9,0,0,0,0,✅ 自然增长
10,838249,真实外卖模拟器,7.7,243881,241699,2182,228887,226975,1912,404,403,1,0,0,0,15,🟢 自然增长为主
11,866286,足球经理：冠军之路,9.3,79847,77686,2161,71855,69948,1907,586,570,16,0,0,0,0,✅ 自然增长
12,892137,我的火比你的更大,9.0,62319,60288,2031,57826,55992,1834,228,223,5,0,0,0,0,✅ 自然增长
13,838601,开局觉醒超神级天赋,8.5,106515,104504,2011,89789,88145,1644,157,156,1,0,0,0,15,🟢 自然增长为主
14,899625,静心拼图,7.9,19665,17705,1960,18889,17019,1870,59,55,4,0,0,0,0,✅ 自然增长
15,884513,指点江山,8.2,30273,28459,1814,27950,26305,1645,207,199,8,0,0,0,0,✅ 自然增长
16,861470,天机六爻,9.1,137836,136072,1764,129021,127386,1635,344,342,2,0,0,0,0,✅ 自然增长
17,895177,废车拆出一个亿,8.6,16086,14325,1761,14854,13228,1626,31,30,1,0,0,0,15,🟢 自然增长为主
18,874896,匡扶汉室,9.0,37788,36043,1745,33728,32179,1549,211,207,4,0,0,0,0,✅ 自然增长
