rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,907735,吃点·外卖模拟器,9.1,35983,31051,4932,34864,30089,4775,109,101,8,0,0,0,0,✅ 自然增长
2,904067,完美清洁公司,9.0,27029,22425,4604,25072,20781,4291,28,26,2,0,0,0,15,🟢 自然增长为主
3,922540,财富磨坊,9.2,11928,8122,3806,10357,7027,3330,52,43,9,0,0,0,0,✅ 自然增长
4,911108,奖来：彩票中了7000万之后的人生启动！,8.0,6178,3300,2878,5832,3119,2713,17,13,4,10,10,0,0,✅ 自然增长
5,884085,花掉马斯克的金钱,7.4,314233,311380,2853,307907,305217,2690,171,170,1,17,12,5,15,🟢 自然增长为主
6,860950,翡翠经营模拟器,9.0,936149,933426,2723,855190,852963,2227,1843,1837,6,0,0,0,0,✅ 自然增长
7,902150,幸运弹球,9.1,34948,32650,2298,30315,28300,2015,74,72,2,0,0,0,15,🟢 自然增长为主
8,919864,暗黑挂机Ⅱ,8.2,3171,1008,2163,2490,857,1633,33,9,24,271,271,0,0,✅ 自然增长
9,873826,训练前额叶,9.6,217156,215225,1931,204606,202827,1779,688,685,3,0,0,0,0,✅ 自然增长
10,899626,判卷捞人,8.0,66475,64629,1846,63177,61469,1708,71,67,4,2,2,0,0,✅ 自然增长
11,861470,天机六爻,9.1,162078,160244,1834,151528,149848,1680,401,400,1,0,0,0,15,🟢 自然增长为主
12,848057,灵瞳觉醒：横扫古董市场,7.9,146362,144533,1829,124995,123460,1535,335,333,2,0,0,0,0,✅ 自然增长
13,894304,养娃模拟器,8.6,19443,17706,1737,18933,17283,1650,137,134,3,0,0,0,0,✅ 自然增长
14,838601,开局觉醒超神级天赋,8.5,129357,127644,1713,108371,107026,1345,173,173,0,0,0,0,30,🟢 自然增长为主
15,880097,灵异直播间,8.6,63811,62223,1588,55676,54274,1402,263,262,1,0,0,0,15,🟢 自然增长为主
16,895177,废车拆出一个亿,8.6,40719,39203,1516,37350,35994,1356,45,44,1,0,0,0,15,🟢 自然增长为主
17,912177,箱中废土,9.1,14493,13074,1419,12885,11641,1244,51,49,2,0,0,0,0,✅ 自然增长
18,848359,无限合成进化系统,6.5,80970,79608,1362,65601,64547,1054,109,108,1,0,0,0,15,🟢 自然增长为主
19,902393,百代人生,7.4,33097,31741,1356,30324,29061,1263,67,64,3,0,0,0,0,✅ 自然增长
20,898983,外卖单王模拟器,8.7,38253,36909,1344,35956,34712,1244,98,94,4,0,0,0,0,✅ 自然增长
21,874896,匡扶汉室,9.0,57523,56222,1301,50877,49758,1119,254,248,6,0,0,0,0,✅ 自然增长
