rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,860950,翡翠经营模拟器,8.9,831267,826397,4870,764896,760698,4198,1645,1632,13,0,0,0,0,✅ 自然增长
2,884085,花掉马斯克的金钱,7.6,81201,76613,4588,79972,75526,4446,52,48,4,0,0,0,15,🟢 自然增长为主
3,840742,SBTI人格测试,8.3,731200,728017,3183,710962,708076,2886,1127,1117,10,0,0,0,0,✅ 自然增长
4,873826,训练前额叶,9.6,154228,151717,2511,145634,143274,2360,527,522,5,0,0,0,0,✅ 自然增长
5,895544,伐木模拟器,9.4,20846,18345,2501,18366,16184,2182,65,57,8,0,0,0,0,✅ 自然增长
6,892137,我的火比你的更大,8.9,40053,37839,2214,37373,35297,2076,150,140,10,0,0,0,0,✅ 自然增长
7,902393,百代人生,7.8,7185,5040,2145,6743,4732,2011,19,13,6,0,0,0,0,✅ 自然增长
8,898614,组建班底打天下,9.0,12834,10695,2139,11683,9746,1937,26,23,3,0,0,0,0,✅ 自然增长
9,837881,伪人超市,7.0,71192,69054,2138,71769,69592,2177,67,64,3,0,0,0,0,✅ 自然增长
10,861470,天机六爻,9.1,119797,117665,2132,112342,110374,1968,313,309,4,0,0,0,0,✅ 自然增长
11,873342,红娘婚介所,7.6,6818,4925,1893,6421,4631,1790,19,13,6,0,0,0,0,✅ 自然增长
12,886560,三国：合字成军,8.4,18283,16401,1882,16287,14604,1683,41,37,4,0,0,0,0,✅ 自然增长
13,838249,真实外卖模拟器,7.6,218652,216981,1671,206342,204886,1456,386,384,2,0,0,0,0,✅ 自然增长
14,898310,生于大唐：人生模拟器,8.9,2301,659,1642,2165,613,1552,12,10,2,0,0,0,0,✅ 自然增长
15,898172,大唐模拟器：贞观棋局,8.6,3920,2281,1639,3680,2165,1515,13,9,4,0,0,0,0,✅ 自然增长
16,898562,诡异复苏,8.0,17123,15558,1565,15985,14550,1435,61,56,5,0,0,0,0,✅ 自然增长
17,903729,我的篮球生涯,8.3,2394,899,1495,2249,842,1407,11,11,0,0,0,0,30,🟢 自然增长为主
18,842892,心理测试大全,9.8,7986,6518,1468,7601,6224,1377,21,20,1,0,0,0,15,🟢 自然增长为主
19,884513,指点江山,7.8,13013,11614,1399,11986,10687,1299,92,85,7,0,0,0,0,✅ 自然增长
20,885492,FPS练枪模拟器,8.7,14034,12672,1362,14319,12921,1398,13,12,1,0,0,0,15,🟢 自然增长为主
21,901510,卡牌商贩模拟器,9.7,3405,2070,1335,3192,1961,1231,9,11,-2,0,0,0,30,🟢 自然增长为主
22,876754,MBTI人格：你像哪位历史皇帝,7.8,28653,27336,1317,27202,25978,1224,47,45,2,0,0,0,0,✅ 自然增长
23,879125,仙苗鉴定师,8.0,52514,51216,1298,46443,45330,1113,134,133,1,0,0,0,15,🟢 自然增长为主
24,863515,边境检查站,7.1,136336,135039,1297,134012,132769,1243,113,112,1,0,0,0,15,🟢 自然增长为主
25,848359,无限合成进化系统,7.0,45513,44248,1265,37718,36669,1049,85,84,1,0,0,0,15,🟢 自然增长为主
26,866286,足球经理：冠军之路,9.4,58804,57583,1221,52942,51840,1102,482,471,11,0,0,0,0,✅ 自然增长
27,891653,木筏生存：抛与钓,8.4,10725,9534,1191,9545,8481,1064,52,45,7,0,0,0,0,✅ 自然增长
28,827624,每日塔罗,8.2,189134,187969,1165,179482,178440,1042,206,204,2,0,0,0,0,✅ 自然增长
29,884773,细胞变异模拟器,8.1,27324,26166,1158,24453,23450,1003,48,46,2,0,0,0,0,✅ 自然增长
30,901050,推理密码,9.8,5307,4232,1075,4986,3976,1010,17,15,2,0,0,0,0,✅ 自然增长
31,867071,翡翠传奇：赌石人生模拟,8.7,74035,72966,1069,68221,67249,972,357,350,7,0,0,0,0,✅ 自然增长
32,880898,瓶中恋人,9.6,42427,41363,1064,39728,38759,969,525,514,11,0,0,0,0,✅ 自然增长
33,848057,灵瞳觉醒：横扫古董市场,7.8,99963,98908,1055,86099,85208,891,307,306,1,0,0,0,15,🟢 自然增长为主
34,882289,画完别忘,8.1,29778,28735,1043,28608,27616,992,52,51,1,0,0,0,15,🟢 自然增长为主
35,838601,开局觉醒超神级天赋,8.5,87341,86311,1030,73763,72918,845,146,141,5,0,0,0,0,✅ 自然增长
36,875520,小兵的故事,7.4,41941,40932,1009,37206,36350,856,74,73,1,0,0,0,15,🟢 自然增长为主
37,838108,FPS练枪房,6.8,246926,245959,967,261052,260109,943,175,174,1,0,0,0,0,✅ 自然增长
38,902150,幸运弹球,9.1,2257,1305,952,2022,1190,832,14,9,5,0,0,0,0,✅ 自然增长
39,840185,愚公移山,8.8,69636,68685,951,59675,58851,824,389,389,0,0,0,0,0,✅ 自然增长
40,859938,棋类合集,7.1,15574,14636,938,14761,13867,894,23,22,1,0,0,0,0,✅ 自然增长
41,892961,末日囤货计划,8.8,10758,9828,930,9730,8900,830,66,63,3,0,0,0,0,✅ 自然增长
42,816605,修仙前传,9.3,209583,208661,922,187085,186350,735,991,991,0,0,0,0,0,✅ 自然增长
43,893785,我赚钱不讲道理,9.3,13220,12303,917,11248,10458,790,38,34,4,0,0,0,0,✅ 自然增长
44,901023,足球生涯,9.1,4527,3672,855,4280,3470,810,8,8,0,0,0,0,0,✅ 自然增长
45,886749,高中生活模拟器,9.2,13107,12259,848,12373,11608,765,74,66,8,0,0,0,0,✅ 自然增长
46,899625,静心拼图,8.4,3075,2230,845,2963,2162,801,13,10,3,0,0,0,0,✅ 自然增长
47,888613,开局攻击只有1,7.4,22754,21919,835,18130,17484,646,45,45,0,0,0,0,0,✅ 自然增长
48,886065,矿石粉碎工厂,9.4,20270,19455,815,17068,16392,676,79,78,1,0,0,0,0,✅ 自然增长
49,852903,古琴大师,8.6,55811,54998,813,55093,54299,794,87,85,2,0,0,0,0,✅ 自然增长
50,823001,十六型人格测试,9.0,82157,81355,802,76533,75808,725,156,152,4,0,0,0,0,✅ 自然增长
51,889765,深夜小卖部,9.4,13225,12423,802,11570,10864,706,17,14,3,0,0,0,0,✅ 自然增长
52,875570,人生副本,6.3,33323,32590,733,32447,31762,685,44,43,1,0,0,0,0,✅ 自然增长
53,874896,匡扶汉室,9.0,26368,25645,723,23604,22975,629,172,172,0,0,0,0,0,✅ 自然增长
54,857828,WHISTLES 裁判模拟,8.2,57850,57134,716,55934,55255,679,124,124,0,0,0,0,0,✅ 自然增长
55,825610,易经101,9.6,196477,195765,712,186973,186313,660,964,965,-1,0,0,0,0,✅ 自然增长
56,833668,中医101,9.5,51853,51160,693,50050,49365,685,169,167,2,0,0,0,0,✅ 自然增长
57,881359,挂机勇者团：放置远征,9.0,981,288,693,749,243,506,12,4,8,0,0,0,0,✅ 自然增长
58,894172,金币推推乐,6.9,9371,8680,691,8690,8061,629,32,31,1,0,0,0,0,✅ 自然增长
59,887223,公式对决,9.3,24825,24136,689,23435,22788,647,93,87,6,0,0,0,0,✅ 自然增长
60,858379,无尽合成传奇,9.0,67504,66824,680,52235,51756,479,507,503,4,0,0,0,0,✅ 自然增长
61,898394,高中模拟器,7.9,6403,5730,673,5790,5225,565,35,34,1,0,0,0,0,✅ 自然增长
62,870855,最强训练家,9.6,1070,411,659,958,384,574,25,23,2,0,0,0,0,✅ 自然增长
63,903127,砸瓶子,8.5,1447,789,658,1303,717,586,9,9,0,0,0,0,0,✅ 自然增长
64,865686,臭水酒馆,9.3,38180,37524,656,33592,33012,580,126,125,1,0,0,0,0,✅ 自然增长
65,834320,中国象棋,7.5,35960,35312,648,34918,34301,617,67,66,1,0,0,0,0,✅ 自然增长
66,835198,金牌客服,7.2,118743,118109,634,111149,110598,551,197,197,0,0,0,0,0,✅ 自然增长
