rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,921865,军旅,7.7,182382,156243,26139,176859,152428,24431,627,448,179,0,0,0,0,✅ 自然增长
2,848832,上岸模拟器,7.6,67093,57541,9552,66234,56833,9401,18,15,3,0,0,0,15,🟢 自然增长为主
3,884085,花掉马斯克的金钱,7.4,383515,378008,5507,375606,370354,5252,182,183,-1,77,72,5,50,🟡 可能有广告
4,911108,奖来：彩票中了7000万之后的人生启动！,7.9,52603,47455,5148,50281,45431,4850,81,68,13,10,10,0,0,✅ 自然增长
5,878915,古代清官模拟器,8.9,76278,71248,5030,71846,67109,4737,115,108,7,0,0,0,0,✅ 自然增长
6,907735,吃点·外卖模拟器,9.2,75975,72043,3932,73733,69966,3767,195,189,6,0,0,0,0,✅ 自然增长
7,861470,天机六爻,9.1,184355,181320,3035,172615,169739,2876,431,427,4,0,0,0,0,✅ 自然增长
8,863515,边境检查站,7.0,202679,199731,2948,198578,195727,2851,142,140,2,0,0,0,15,🟢 自然增长为主
9,895177,废车拆出一个亿,8.7,58368,55586,2782,53990,51346,2644,51,50,1,0,0,0,15,🟢 自然增长为主
10,902150,幸运弹球,9.1,49846,47438,2408,43228,41142,2086,99,99,0,0,0,0,30,🟢 自然增长为主
11,899597,我的足球人生,9.2,24182,21782,2400,22671,20443,2228,157,147,10,14,14,0,0,✅ 自然增长
12,875570,人生副本,5.9,84795,82518,2277,83246,81013,2233,85,84,1,0,0,0,15,🟢 自然增长为主
13,898983,外卖单王模拟器,8.6,58180,55942,2238,54871,52814,2057,119,116,3,0,0,0,0,✅ 自然增长
14,880097,灵异直播间,8.7,76273,74064,2209,66548,64645,1903,274,272,2,0,0,0,15,🟢 自然增长为主
15,929600,外交官模拟器,0.0,2685,477,2208,2588,454,2134,4,1,3,1,1,0,0,✅ 自然增长
16,895938,一品之路,7.5,31327,29158,2169,29434,27382,2052,51,50,1,0,0,0,15,🟢 自然增长为主
17,922540,财富磨坊,8.9,29937,27911,2026,25989,24288,1701,89,85,4,0,0,0,0,✅ 自然增长
18,834640,昏君模拟器：权力整活,7.9,122608,120598,2010,111402,109480,1922,106,106,0,0,0,0,30,🟢 自然增长为主
19,899626,判卷捞人,8.3,80767,78892,1875,76697,74924,1773,75,75,0,2,2,0,30,🟢 自然增长为主
20,860950,翡翠经营模拟器,9.0,953116,951244,1872,869601,868075,1526,1868,1867,1,0,0,0,15,🟢 自然增长为主
21,874896,匡扶汉室,8.9,75195,73362,1833,67014,65384,1630,284,278,6,0,0,0,0,✅ 自然增长
22,914339,开了家西西陪玩店,8.8,3668,1905,1763,3380,1760,1620,37,32,5,1,1,0,0,✅ 自然增长
23,919382,逐鹿十三州,8.5,2250,529,1721,2093,501,1592,15,5,10,2,2,0,0,✅ 自然增长
24,898394,高中模拟器,8.1,46034,44347,1687,43960,42335,1625,126,125,1,46,44,2,15,🟢 自然增长为主
25,840185,愚公移山,8.8,103898,102250,1648,87270,85923,1347,391,392,-1,16,16,0,30,🟢 自然增长为主
26,919416,诸天魔头交流群,9.0,2915,1294,1621,2646,1184,1462,9,8,1,0,0,0,15,🟢 自然增长为主
27,880247,百世家族·轮回修仙,7.7,54008,52409,1599,47120,45769,1351,217,213,4,0,0,0,0,✅ 自然增长
28,834152,大有可为：从零开始,8.5,61506,59908,1598,52152,50766,1386,339,336,3,154,154,0,0,✅ 自然增长
29,894304,养娃模拟器,8.8,39076,37587,1489,37747,36357,1390,159,155,4,0,0,0,0,✅ 自然增长
30,873826,训练前额叶,9.6,229216,227804,1412,215748,214451,1297,712,710,2,0,0,0,0,✅ 自然增长
31,848057,灵瞳觉醒：横扫古董市场,7.8,158418,157017,1401,135252,134111,1141,338,338,0,0,0,0,30,🟢 自然增长为主
32,926030,从零开始创业,8.8,4090,2698,1392,3860,2536,1324,16,13,3,0,0,0,0,✅ 自然增长
33,867801,地府打工魂,7.5,57768,56409,1359,46193,45099,1094,153,153,0,0,0,0,30,🟢 自然增长为主
34,926395,重生08年：豆宝成了我的外挂,9.3,5957,4605,1352,5585,4321,1264,14,9,5,4,4,0,0,✅ 自然增长
35,861124,虾仁冒险记,7.7,48964,47623,1341,38858,37812,1046,66,66,0,0,0,0,30,🟢 自然增长为主
36,920530,你的心理年龄多少岁,9.7,12369,11042,1327,11748,10501,1247,36,33,3,0,0,0,0,✅ 自然增长
37,867071,翡翠传奇：赌石人生模拟,8.7,120432,119107,1325,110032,108833,1199,482,480,2,4,4,0,0,✅ 自然增长
38,897534,逻辑岛,9.2,24075,22775,1300,21938,20710,1228,58,57,1,0,0,0,15,🟢 自然增长为主
39,913692,七宗罪与七美德测试,8.3,41751,40454,1297,40011,38784,1227,72,72,0,30,30,0,30,🟢 自然增长为主
40,862281,Life Journey人生轨迹,8.7,21198,19947,1251,18649,17489,1160,206,206,0,0,0,0,30,🟢 自然增长为主
41,917861,明朝当官模拟器,7.7,10815,9575,1240,10488,9299,1189,9,9,0,0,0,0,30,🟢 自然增长为主
42,848359,无限合成进化系统,6.6,91414,90205,1209,74099,73181,918,113,112,1,0,0,0,15,🟢 自然增长为主
43,838601,开局觉醒超神级天赋,8.5,140729,139538,1191,117863,116890,973,173,174,-1,0,0,0,30,🟢 自然增长为主
44,909962,包塘模拟器,8.7,20070,18899,1171,18600,17479,1121,49,48,1,3,1,2,15,🟢 自然增长为主
45,911309,修仙永生,9.2,5338,4185,1153,5080,3988,1092,36,29,7,42,42,0,0,✅ 自然增长
46,898172,大唐当官模拟器,7.7,11236,10091,1145,10257,9169,1088,22,21,1,0,0,0,15,🟢 自然增长为主
47,911154,留给先行者的花束,9.5,1309,171,1138,1247,156,1091,22,9,13,3,3,0,0,✅ 自然增长
48,902393,百代人生,7.4,45701,44569,1132,42286,41237,1049,89,84,5,0,0,0,0,✅ 自然增长
