rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,921865,军旅,7.6,198153,182382,15771,191801,176859,14942,699,627,72,0,0,0,0,✅ 自然增长
2,848832,上岸模拟器,7.5,73327,67093,6234,72352,66234,6118,20,18,2,0,0,0,15,🟢 自然增长为主
3,884085,花掉马斯克的金钱,7.4,388534,383515,5019,380387,375606,4781,185,182,3,84,77,7,15,🟢 自然增长为主
4,911108,奖来：彩票中了7000万之后的人生启动！,7.8,57423,52603,4820,54850,50281,4569,93,81,12,10,10,0,0,✅ 自然增长
5,907735,吃点·外卖模拟器,9.2,80431,75975,4456,78093,73733,4360,204,195,9,0,0,0,0,✅ 自然增长
6,878915,古代清官模拟器,8.9,79416,76278,3138,74787,71846,2941,117,115,2,0,0,0,15,🟢 自然增长为主
7,922540,财富磨坊,8.9,32755,29937,2818,28473,25989,2484,90,89,1,0,0,0,15,🟢 自然增长为主
8,895177,废车拆出一个亿,8.7,61147,58368,2779,56586,53990,2596,51,51,0,0,0,0,30,🟢 自然增长为主
9,898983,外卖单王模拟器,8.6,60834,58180,2654,57469,54871,2598,125,119,6,0,0,0,0,✅ 自然增长
10,863515,边境检查站,7.0,205169,202679,2490,200981,198578,2403,142,142,0,0,0,0,30,🟢 自然增长为主
11,861470,天机六爻,9.1,186789,184355,2434,174890,172615,2275,435,431,4,0,0,0,0,✅ 自然增长
12,902150,幸运弹球,9.1,52245,49846,2399,45285,43228,2057,105,99,6,0,0,0,0,✅ 自然增长
13,899597,我的足球人生,9.1,26575,24182,2393,24864,22671,2193,170,157,13,14,14,0,0,✅ 自然增长
14,929600,外交官模拟器,7.3,4971,2685,2286,4818,2588,2230,7,4,3,1,1,0,0,✅ 自然增长
15,860950,翡翠经营模拟器,9.0,955318,953116,2202,871434,869601,1833,1868,1868,0,0,0,0,30,🟢 自然增长为主
16,911154,留给先行者的花束,9.5,3338,1309,2029,3262,1247,2015,42,22,20,62,3,59,0,✅ 自然增长
17,898562,诡异复苏,8.0,55870,53877,1993,51911,49882,2029,216,211,5,0,0,0,0,✅ 自然增长
18,919382,逐鹿十三州,8.3,4205,2250,1955,3965,2093,1872,22,15,7,2,2,0,0,✅ 自然增长
19,880097,灵异直播间,8.6,78196,76273,1923,68231,66548,1683,276,274,2,0,0,0,0,✅ 自然增长
20,862281,Life Journey人生轨迹,8.7,23068,21198,1870,20395,18649,1746,209,206,3,0,0,0,0,✅ 自然增长
21,899626,判卷捞人,8.3,82596,80767,1829,78439,76697,1742,76,75,1,2,2,0,15,🟢 自然增长为主
22,913692,七宗罪与七美德测试,8.3,43525,41751,1774,41719,40011,1708,73,72,1,30,30,0,15,🟢 自然增长为主
23,840185,愚公移山,8.8,105647,103898,1749,88719,87270,1449,390,391,-1,16,16,0,30,🟢 自然增长为主
24,895938,一品之路,7.5,32996,31327,1669,31022,29434,1588,51,51,0,0,0,0,30,🟢 自然增长为主
25,873826,训练前额叶,9.6,230829,229216,1613,217276,215748,1528,710,712,-2,0,0,0,30,🟢 自然增长为主
26,919416,诸天魔头交流群,8.4,4482,2915,1567,4075,2646,1429,11,9,2,0,0,0,0,✅ 自然增长
27,834640,昏君模拟器：权力整活,7.9,124163,122608,1555,112873,111402,1471,106,106,0,0,0,0,30,🟢 自然增长为主
28,897534,逻辑岛,9.3,25570,24075,1495,23378,21938,1440,59,58,1,0,0,0,15,🟢 自然增长为主
29,834152,大有可为：从零开始,8.5,62999,61506,1493,53473,52152,1321,338,339,-1,154,154,0,30,🟢 自然增长为主
30,898394,高中模拟器,8.1,47484,46034,1450,45388,43960,1428,126,126,0,53,46,7,30,🟢 自然增长为主
31,848057,灵瞳觉醒：横扫古董市场,7.8,159830,158418,1412,136406,135252,1154,338,338,0,0,0,0,30,🟢 自然增长为主
32,874896,匡扶汉室,8.9,76595,75195,1400,68249,67014,1235,289,284,5,0,0,0,0,✅ 自然增长
33,894304,养娃模拟器,8.8,40436,39076,1360,39025,37747,1278,160,159,1,0,0,0,15,🟢 自然增长为主
34,840742,SBTI人格测试,8.4,798935,797629,1306,771583,770423,1160,1236,1241,-5,0,0,0,30,🟢 自然增长为主
35,926935,冠军之心：篮球生涯,8.5,8102,6824,1278,7566,6392,1174,30,30,0,8,8,0,30,🟢 自然增长为主
36,875570,人生副本,5.9,86005,84795,1210,84405,83246,1159,86,85,1,0,0,0,15,🟢 自然增长为主
37,838601,开局觉醒超神级天赋,8.5,141927,140729,1198,118822,117863,959,173,173,0,0,0,0,30,🟢 自然增长为主
38,917648,掘进,8.9,11460,10269,1191,10007,8928,1079,63,62,1,15,15,0,15,🟢 自然增长为主
39,911309,修仙永生,8.9,6519,5338,1181,6197,5080,1117,40,36,4,42,42,0,0,✅ 自然增长
40,867071,翡翠传奇：赌石人生模拟,8.7,121608,120432,1176,111080,110032,1048,485,482,3,4,4,0,0,✅ 自然增长
41,867801,地府打工魂,7.4,58925,57768,1157,47092,46193,899,154,153,1,0,0,0,15,🟢 自然增长为主
42,920530,你的心理年龄多少岁,9.6,13455,12369,1086,12764,11748,1016,37,36,1,0,0,0,15,🟢 自然增长为主
43,861124,虾仁冒险记,7.6,50046,48964,1082,39682,38858,824,67,66,1,0,0,0,15,🟢 自然增长为主
44,825840,百世流芳,9.1,69464,68383,1081,57346,56410,936,667,665,2,0,0,0,0,✅ 自然增长
45,899625,静心拼图,8.4,43350,42278,1072,41265,40220,1045,105,103,2,0,0,0,0,✅ 自然增长
46,884513,指点江山,8.4,59731,58669,1062,54347,53438,909,417,413,4,243,243,0,0,✅ 自然增长
47,916876,无情道修炼手札,8.5,4112,3073,1039,4049,3026,1023,32,30,2,0,0,0,0,✅ 自然增长
48,866286,足球经理：冠军之路,9.3,104762,103725,1037,93562,92667,895,734,727,7,0,0,0,0,✅ 自然增长
49,850555,毕业后，我来到了大城市,8.5,85364,84332,1032,76484,75574,910,302,301,1,0,0,0,15,🟢 自然增长为主
50,902393,百代人生,7.4,46729,45701,1028,43207,42286,921,91,89,2,0,0,0,0,✅ 自然增长
51,875520,小兵的故事,7.5,65885,64863,1022,57592,56676,916,106,104,2,0,0,0,0,✅ 自然增长
52,904067,完美清洁公司,8.6,44742,43722,1020,41377,40465,912,39,38,1,0,0,0,15,🟢 自然增长为主
53,879125,仙苗鉴定师,7.6,76305,75300,1005,65631,64813,818,182,182,0,0,0,0,30,🟢 自然增长为主
54,894446,咯咯哒农场,8.5,38435,37434,1001,33768,32862,906,151,146,5,0,0,0,0,✅ 自然增长
55,888584,城市主理人：晋升都市,7.6,18388,17404,984,16802,15868,934,68,68,0,0,0,0,0,✅ 自然增长
56,912177,箱中废土,8.6,21890,20922,968,19431,18522,909,71,69,2,0,0,0,0,✅ 自然增长
57,848359,无限合成进化系统,6.6,92363,91414,949,74770,74099,671,113,113,0,0,0,0,0,✅ 自然增长
58,909672,凡尘问道,9.7,11268,10327,941,9371,8607,764,72,83,-11,0,0,0,0,✅ 自然增长
59,930266,城市规划,5.9,1730,803,927,1650,758,892,7,7,0,20,17,3,0,✅ 自然增长
60,816605,修仙前传,9.3,239472,238548,924,210577,209849,728,1051,1051,0,0,0,0,0,✅ 自然增长
61,866971,篮球传奇：球星生涯模拟器,8.7,68476,67555,921,61880,61058,822,205,203,2,0,0,0,0,✅ 自然增长
62,904574,弹珠机乐园,8.8,24284,23369,915,22802,21953,849,76,75,1,0,0,0,0,✅ 自然增长
63,899899,抽齐水浒卡,8.6,13950,13040,910,11996,11163,833,43,39,4,0,0,0,0,✅ 自然增长
64,892137,我的火比你的更大,8.9,85416,84511,905,78538,77722,816,298,296,2,0,0,0,0,✅ 自然增长
65,866762,有家租车行,9.0,21002,20100,902,18493,17626,867,60,60,0,0,0,0,0,✅ 自然增长
66,892837,有间药铺,8.7,27545,26661,884,24751,23960,791,93,89,4,0,0,0,0,✅ 自然增长
67,898614,组建班底打天下,8.6,32027,31155,872,28434,27615,819,56,56,0,0,0,0,0,✅ 自然增长
68,923482,趣味打字训练营,8.9,6490,5618,872,6298,5444,854,17,16,1,0,0,0,0,✅ 自然增长
69,917861,明朝当官模拟器,8.1,11662,10815,847,11297,10488,809,11,9,2,0,0,0,0,✅ 自然增长
70,838249,真实外卖模拟器,7.7,271433,270588,845,252521,251807,714,422,421,1,0,0,0,0,✅ 自然增长
71,871586,名校养成记,8.7,25619,24791,828,22662,21888,774,132,131,1,0,0,0,0,✅ 自然增长
72,855392,大明设身处地官场人生模拟,6.9,23115,22289,826,20243,19434,809,101,101,0,0,0,0,0,✅ 自然增长
73,912003,一念仙途,7.8,12821,12011,810,11654,10931,723,48,47,1,0,0,0,0,✅ 自然增长
74,895544,伐木模拟器,8.8,57474,56670,804,48726,48091,635,123,123,0,0,0,0,0,✅ 自然增长
75,856514,地产风云,8.3,36395,35603,792,31950,31257,693,207,200,7,0,0,0,0,✅ 自然增长
76,903376,模拟高中：我是校长,9.0,23542,22750,792,21632,20915,717,61,60,1,0,0,0,0,✅ 自然增长
77,873244,手机制造模拟器2,7.5,54582,53798,784,50931,50171,760,281,280,1,0,0,0,0,✅ 自然增长
