rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,932781,养鸡成世界首富,9.0,21919,16630,5289,19960,15121,4839,68,58,10,5,5,0,0,✅ 自然增长
2,884085,花掉马斯克的金钱,7.5,434380,430564,3816,424119,420503,3616,190,190,0,204,184,20,30,🟢 自然增长为主
3,907735,吃点·外卖模拟器,9.2,121154,117967,3187,117806,114736,3070,290,286,4,0,0,0,0,✅ 自然增长
4,919382,逐鹿十三州,8.9,46894,43800,3094,43980,41251,2729,153,147,6,2,2,0,0,✅ 自然增长
5,942471,明朝小兵当镇国将军,9.2,3912,1129,2783,3747,1092,2655,7,5,2,0,0,0,15,🟢 自然增长为主
6,862281,Life Journey人生轨迹,8.7,41629,38909,2720,37139,34657,2482,244,240,4,0,0,0,0,✅ 自然增长
7,942398,灰烬边境,7.9,5127,2523,2604,4659,2250,2409,47,24,23,5,5,0,0,✅ 自然增长
8,902150,幸运弹球,9.0,82436,80031,2405,70796,68803,1993,125,124,1,0,0,0,15,🟢 自然增长为主
9,933047,后宫·万象,8.0,11705,9447,2258,10913,8793,2120,48,46,2,44,44,0,15,🟢 自然增长为主
10,880097,灵异直播间,8.6,104264,102087,2177,90264,88384,1880,293,293,0,0,0,0,30,🟢 自然增长为主
11,922540,财富磨坊,9.0,65542,63391,2151,55841,54102,1739,128,124,4,0,0,0,0,✅ 自然增长
12,899626,判卷捞人,8.3,103509,101443,2066,98258,96309,1949,87,86,1,2,2,0,15,🟢 自然增长为主
13,920690,你最像哪位哲学家,8.6,4598,2554,2044,4366,2404,1962,21,12,9,0,0,0,0,✅ 自然增长
14,928522,世代相亲模拟器,8.1,21983,19963,2020,20873,18958,1915,27,26,1,2,2,0,15,🟢 自然增长为主
15,840185,愚公移山,8.7,128393,126490,1903,107082,105553,1529,396,395,1,16,16,0,15,🟢 自然增长为主
16,934386,从摆摊开始,8.8,12560,10720,1840,11636,9938,1698,84,77,7,7,7,0,0,✅ 自然增长
17,834152,大有可为：从零开始,8.4,80861,79030,1831,68690,67094,1596,361,359,2,151,151,0,0,✅ 自然增长
