rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,887223,公式对决,9.3,34550,0,34550,32532,32423,109,119,119,0,1,0,1,90,🔴 高概率广告导入
2,904067,完美清洁公司,9.1,15576,11342,4234,14242,10291,3951,21,19,2,0,0,0,15,🟢 自然增长为主
3,907735,吃点·外卖模拟器,8.9,21994,18117,3877,21255,17513,3742,75,63,12,0,0,0,0,✅ 自然增长
4,860950,翡翠经营模拟器,9.0,927725,924775,2950,848215,845705,2510,1829,1824,5,0,0,0,0,✅ 自然增长
5,884085,花掉马斯克的金钱,7.5,307209,304393,2816,304312,298670,5642,169,166,3,9,9,0,0,✅ 自然增长
6,894304,养娃模拟器,9.1,13496,10752,2744,13022,10294,2728,135,114,21,0,0,0,0,✅ 自然增长
7,895177,废车拆出一个亿,8.4,35604,33098,2506,32697,30433,2264,43,42,1,0,0,0,15,🟢 自然增长为主
8,861470,天机六爻,9.1,155964,153546,2418,148270,143571,4699,390,385,5,0,0,0,0,✅ 自然增长
9,873826,训练前额叶,9.6,210924,208645,2279,201031,196665,4366,677,672,5,0,0,0,0,✅ 自然增长
10,902150,幸运弹球,9.1,28556,26646,1910,26518,23048,3470,67,66,1,0,0,0,15,🟢 自然增长为主
11,848057,灵瞳觉醒：横扫古董市场,7.8,140717,138894,1823,121890,118822,3068,333,332,1,0,0,0,15,🟢 自然增长为主
12,880097,灵异直播间,8.6,59231,57419,1812,51755,50124,1631,259,257,2,0,0,0,0,✅ 自然增长
13,838601,开局觉醒超神级天赋,8.5,123807,122008,1799,103913,102449,1464,171,171,0,0,0,0,30,🟢 自然增长为主
14,913193,今天开始做大明星,9.0,7383,5927,1456,7057,5636,1421,20,21,-1,0,0,0,30,🟢 自然增长为主
15,848359,无限合成进化系统,6.6,76154,74716,1438,63049,60665,2384,105,106,-1,0,0,0,30,🟢 自然增长为主
16,867801,地府打工魂,7.6,43552,42179,1373,34585,33463,1122,148,145,3,0,0,0,0,✅ 自然增长
17,874896,匡扶汉室,9.0,53763,52399,1364,48934,46473,2461,241,241,0,0,0,0,30,🟢 自然增长为主
18,912177,箱中废土,9.1,10028,8688,1340,8927,7731,1196,40,33,7,0,0,0,0,✅ 自然增长
19,898394,高中模拟器,8.3,28979,27643,1336,27365,26031,1334,96,92,4,12,9,3,0,✅ 自然增长
20,898983,外卖单王模拟器,8.7,34100,32803,1297,32133,30928,1205,88,85,3,0,0,0,0,✅ 自然增长
21,899626,判卷捞人,7.9,60855,59559,1296,57927,56709,1218,64,64,0,2,2,0,30,🟢 自然增长为主
22,840185,愚公移山,8.8,90821,89546,1275,76691,75647,1044,391,391,0,0,0,0,30,🟢 自然增长为主
23,902393,百代人生,7.3,29107,27898,1209,26613,25458,1155,60,57,3,0,0,0,0,✅ 自然增长
24,880247,百世家族·轮回修仙,7.7,41910,40732,1178,36741,35729,1012,197,195,2,0,0,0,0,✅ 自然增长
25,896631,萌萌地下城：属性叠属性,9.6,1843,669,1174,1700,619,1081,16,12,4,123,124,-1,0,✅ 自然增长
26,840742,SBTI人格测试,8.3,786958,785814,1144,762321,760125,2196,1227,1226,1,0,0,0,15,🟢 自然增长为主
27,867071,翡翠传奇：赌石人生模拟,8.7,108382,107243,1139,99348,98389,959,464,462,2,4,4,0,0,✅ 自然增长
28,884513,指点江山,8.4,45937,44802,1135,42135,41101,1034,329,320,9,126,126,0,0,✅ 自然增长
29,861124,虾仁冒险记,7.6,36238,35118,1120,29887,28100,1787,58,57,1,0,0,0,15,🟢 自然增长为主
30,899625,静心拼图,8.3,33037,31921,1116,31580,30513,1067,86,85,1,0,0,0,15,🟢 自然增长为主
31,897534,逻辑岛,9.5,16517,15406,1111,15023,13975,1048,48,46,2,0,0,0,0,✅ 自然增长
32,892961,末日囤货计划,8.8,38900,37868,1032,35074,34186,888,152,149,3,0,0,0,0,✅ 自然增长
