rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,884085,花掉马斯克的金钱,7.5,420108,415086,5022,410848,405996,4852,189,189,0,159,137,22,50,🟡 可能有广告
2,919382,逐鹿十三州,8.7,31452,27540,3912,30255,26715,3540,99,87,12,2,2,0,0,✅ 自然增长
3,907735,吃点·外卖模拟器,9.1,107289,104111,3178,104615,101538,3077,270,259,11,0,0,0,0,✅ 自然增长
4,922540,财富磨坊,8.9,53074,49977,3097,45681,42937,2744,113,111,2,0,0,0,15,🟢 自然增长为主
5,911108,奖来：彩票中了7000万之后的人生启动！,7.6,81194,78155,3039,77799,74964,2835,125,122,3,10,10,0,15,🟢 自然增长为主
6,902150,幸运弹球,9.1,71271,68773,2498,61659,59552,2107,120,117,3,0,0,0,0,✅ 自然增长
7,861470,天机六爻,9.2,208526,206359,2167,195750,193774,1976,489,484,5,0,0,0,0,✅ 自然增长
8,928522,世代相亲模拟器,8.4,12697,10554,2143,12178,10128,2050,22,21,1,2,2,0,15,🟢 自然增长为主
9,880097,灵异直播间,8.6,94636,92573,2063,82353,80617,1736,287,282,5,0,0,0,0,✅ 自然增长
10,913692,七宗罪与七美德测试,8.3,55555,53565,1990,53996,52079,1917,91,89,2,33,33,0,0,✅ 自然增长
11,894398,收破烂喽！,9.4,2553,664,1889,2328,592,1736,13,6,7,0,0,0,0,✅ 自然增长
12,880247,百世家族·轮回修仙,7.6,66861,65082,1779,58001,56481,1520,230,229,1,24,24,0,15,🟢 自然增长为主
13,916480,画一条鱼,9.5,16395,14621,1774,16169,14387,1782,265,241,24,22,22,0,0,✅ 自然增长
14,930857,化龙模拟器,8.6,11661,9999,1662,11048,9516,1532,23,21,2,0,0,0,0,✅ 自然增长
15,873826,训练前额叶,9.6,243539,241887,1652,229431,227945,1486,746,742,4,0,0,0,0,✅ 自然增长
16,920618,一个成年男子能徒手打败什么,9.2,4581,2937,1644,4045,2585,1460,26,25,1,0,0,0,15,🟢 自然增长为主
17,840742,SBTI人格测试,8.4,810166,808556,1610,781960,780531,1429,1235,1235,0,0,0,0,30,🟢 自然增长为主
18,899626,判卷捞人,8.3,95818,94311,1507,91079,89665,1414,83,83,0,2,2,0,30,🟢 自然增长为主
19,928625,扫叶闲庭,8.3,6313,4822,1491,5965,4584,1381,9,8,1,0,0,0,15,🟢 自然增长为主
20,860950,翡翠经营模拟器,9.0,967881,966394,1487,881269,880219,1050,1887,1883,4,0,0,0,0,✅ 自然增长
21,898983,外卖单王模拟器,8.7,73585,72114,1471,69325,68026,1299,142,141,1,0,0,0,15,🟢 自然增长为主
22,874896,匡扶汉室,9.0,87430,85993,1437,77640,76412,1228,318,314,4,0,0,0,0,✅ 自然增长
23,904067,完美清洁公司,8.5,57952,56523,1429,53966,52676,1290,41,41,0,0,0,0,30,🟢 自然增长为主
24,929702,斗气大陆模拟器,8.1,10172,8747,1425,9838,8458,1380,29,29,0,0,0,0,30,🟢 自然增长为主
25,840185,愚公移山,8.8,119181,117767,1414,99794,98656,1138,390,390,0,16,16,0,30,🟢 自然增长为主
26,848359,无限合成进化系统,6.5,102638,101225,1413,82486,81440,1046,116,116,0,0,0,0,30,🟢 自然增长为主
27,898562,诡异复苏,8.0,66067,64671,1396,61259,59990,1269,243,239,4,0,0,0,0,✅ 自然增长
28,932608,明末士卒晋升模拟器,8.3,11322,9930,1392,10908,9638,1270,36,36,0,7,7,0,30,🟢 自然增长为主
29,862281,Life Journey人生轨迹,8.7,33726,32351,1375,30194,29001,1193,233,232,1,0,0,0,15,🟢 自然增长为主
