rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,912415,上岸乡镇后,6.1,77699,21234,51519,76227,20335,50996,153,85,62,0,0,0,25,🟢 自然增长为主
2,921865,军旅,8.1,62517,9938,47973,61428,9646,47246,168,77,83,0,0,0,5,✅ 自然增长
3,884085,花掉马斯克的金钱,7.4,355007,334528,18685,347932,327843,18329,180,177,3,55,44,10,30,🟢 自然增长为主
4,878915,古代清官模拟器,9.0,48854,35254,12409,45439,32126,12147,83,78,5,0,0,0,15,🟢 自然增长为主
5,848832,上岸模拟器,8.1,19943,7286,11548,19461,6808,11545,11,5,5,0,0,0,15,🟢 自然增长为主
6,863515,边境检查站,7.1,187864,176678,10206,184147,173101,10078,137,135,2,0,0,0,30,🟢 自然增长为主
7,911108,奖来：彩票中了7000万之后的人生启动！,7.6,26569,15446,10149,25450,14722,9788,48,38,9,10,10,0,15,🟢 自然增长为主
8,875570,人生副本,6.1,74260,63287,10012,72922,61906,10051,80,73,6,0,0,0,15,🟢 自然增长为主
9,907735,吃点·外卖模拟器,9.2,62837,54976,7172,61056,53492,6901,172,160,11,0,0,0,0,✅ 自然增长
10,856514,地产风云,8.2,29926,24655,4809,26122,21050,4628,194,191,3,0,0,0,15,🟢 自然增长为主
11,861470,天机六爻,9.2,172546,167434,4664,161400,156543,4432,415,411,4,0,0,0,15,🟢 自然增长为主
12,895938,一品之路,7.6,20950,15941,4570,19498,14577,4490,45,43,2,0,0,0,15,🟢 自然增长为主
13,834640,昏君模拟器：权力整活,7.9,112714,107877,4413,101816,97113,4291,106,106,0,0,0,0,30,🟢 自然增长为主
14,898983,外卖单王模拟器,8.8,47902,43117,4366,45185,40604,4180,109,102,6,0,0,0,0,✅ 自然增长
15,894304,养娃模拟器,8.7,32920,28438,4089,31953,27670,3908,154,147,6,0,0,0,0,✅ 自然增长
16,874896,匡扶汉室,8.9,66787,62517,3896,59380,55426,3608,269,263,5,0,0,0,0,✅ 自然增长
17,895177,废车拆出一个亿,8.6,48861,44921,3595,45008,41271,3410,46,47,-1,0,0,0,30,🟢 自然增长为主
18,922540,财富磨坊,8.9,22056,18279,3446,19153,15889,2978,74,64,9,0,0,0,0,✅ 自然增长
19,860950,翡翠经营模拟器,9.0,945912,942603,3019,863477,860649,2580,1861,1855,5,0,0,0,0,✅ 自然增长
20,898394,高中模拟器,8.2,39202,36006,2916,37313,34177,2861,119,116,3,35,31,4,15,🟢 自然增长为主
21,902393,百代人生,7.4,40045,36907,2863,36941,33968,2713,78,74,4,0,0,0,0,✅ 自然增长
22,899597,我的足球人生,9.0,14725,11603,2849,13742,10736,2743,126,119,6,14,14,0,0,✅ 自然增长
23,899627,仕途模拟器南江州·州牧治政,3.6,5220,2148,2803,5076,1977,2828,7,7,0,0,0,0,30,🟢 自然增长为主
24,838601,开局觉醒超神级天赋,8.5,135886,133140,2505,113866,111504,2155,173,173,0,0,0,0,30,🟢 自然增长为主
25,904067,完美清洁公司,8.6,39291,36587,2467,36454,34007,2233,37,36,1,0,0,0,15,🟢 自然增长为主
26,848359,无限合成进化系统,6.6,86841,84184,2424,70480,68180,2099,112,112,0,0,0,0,30,🟢 自然增长为主
27,899626,判卷捞人,8.2,73617,70990,2397,69927,67429,2279,73,73,0,2,2,0,30,🟢 自然增长为主
28,848057,灵瞳觉醒：横扫古董市场,7.8,152989,150383,2378,130655,128383,2073,337,337,0,0,0,0,30,🟢 自然增长为主
29,902150,幸运弹球,9.2,41875,39323,2328,36305,34112,2001,92,88,4,0,0,0,0,✅ 自然增长
30,866286,足球经理：冠军之路,9.3,98875,96335,2317,88318,85963,2149,713,700,12,0,0,0,0,✅ 自然增长
31,873826,训练前额叶,9.6,224112,221803,2107,211039,208909,1943,707,699,7,0,0,0,0,✅ 自然增长
32,867801,地府打工魂,7.6,53008,50749,2061,42281,40375,1739,152,151,1,0,0,0,15,🟢 自然增长为主
33,913692,七宗罪与七美德测试,8.2,37032,34781,2054,35521,33462,1879,71,69,2,30,30,0,15,🟢 自然增长为主
34,920530,你的心理年龄多少岁,9.8,7427,5233,2002,7037,4939,1914,29,26,3,0,0,0,0,✅ 自然增长
35,875087,历史模拟器：隆武,7.5,43071,41029,1863,39156,37180,1803,161,161,0,0,0,0,30,🟢 自然增长为主
36,880097,灵异直播间,8.6,69282,67295,1813,60486,58717,1614,269,268,1,0,0,0,15,🟢 自然增长为主
37,841413,无限648：氪金之王,6.7,65893,63947,1776,60378,58530,1686,81,81,0,0,0,0,30,🟢 自然增长为主
38,861124,虾仁冒险记,7.6,44840,42947,1727,35683,34162,1388,65,64,1,0,0,0,15,🟢 自然增长为主
39,834883,水浒：梁山聚义,8.0,20744,18868,1712,17496,15530,1794,142,142,0,0,0,0,30,🟢 自然增长为主
40,903729,我的篮球生涯,7.2,18756,16903,1691,17541,15748,1636,33,31,2,0,0,0,0,✅ 自然增长
41,857828,WHISTLES 裁判模拟,8.2,78776,76977,1641,75875,74150,1574,141,141,0,0,0,0,30,🟢 自然增长为主
42,926935,冠军之心：篮球生涯,8.5,2829,1075,1600,2657,1018,1495,22,14,7,8,0,7,0,✅ 自然增长
43,903376,模拟高中：我是校长,8.8,19497,17757,1588,17965,16406,1422,57,55,2,0,0,0,0,✅ 自然增长
44,861115,人生重开模拟器,6.6,28658,26924,1582,26325,24616,1559,125,123,2,0,0,0,0,✅ 自然增长
45,867071,翡翠传奇：赌石人生模拟,8.7,115707,113977,1578,105704,104170,1400,474,471,3,4,4,0,0,✅ 自然增长
46,884513,指点江山,8.4,54783,53088,1547,49971,48467,1372,394,384,9,198,130,62,0,✅ 自然增长
47,838249,真实外卖模拟器,7.7,267327,265652,1528,249040,247573,1338,420,420,0,0,0,0,30,🟢 自然增长为主
48,899266,航空公司模拟,3.4,15639,14013,1484,15395,13844,1415,36,29,6,0,0,0,0,✅ 自然增长
49,866971,篮球传奇：球星生涯模拟器,8.8,64020,62488,1398,57822,56420,1279,200,200,0,0,0,0,30,🟢 自然增长为主
50,879125,仙苗鉴定师,7.6,72289,70771,1385,62354,61061,1180,174,174,0,0,0,0,30,🟢 自然增长为主
51,840185,愚公移山,8.8,98712,97206,1374,82978,81783,1090,392,392,0,16,16,0,30,🟢 自然增长为主
52,873244,手机制造模拟器2,7.5,51388,49918,1341,47918,46536,1261,277,277,0,0,0,0,30,🟢 自然增长为主
53,919864,暗黑挂机Ⅱ,8.6,7998,6561,1311,6184,5126,965,64,56,7,271,271,0,0,✅ 自然增长
54,850555,毕业后，我来到了大城市,8.5,80633,79223,1286,72204,70944,1150,297,295,2,0,0,0,0,✅ 自然增长
55,854788,山贼模拟器,7.3,61439,60126,1198,54635,53393,1133,211,211,0,0,0,0,30,🟢 自然增长为主
56,888584,城市主理人,7.5,13080,11767,1198,11783,10512,1160,65,62,3,0,0,0,0,✅ 自然增长
57,909962,包塘模拟器,8.8,16054,14748,1192,14853,13644,1103,44,44,0,1,1,0,30,🟢 自然增长为主
58,825610,易经101,9.6,215252,213948,1190,203877,202668,1103,1061,1056,5,0,0,0,0,✅ 自然增长
59,880247,百世家族·轮回修仙,7.7,48783,47484,1185,42542,41464,984,208,206,2,0,0,0,0,✅ 自然增长
60,917140,无尽仙域,9.1,1287,0,1174,978,898,73,10,7,3,15,12,3,20,🟢 自然增长为主
61,854795,中国式乞丐,8.2,70529,69258,1160,65572,64351,1114,78,77,1,0,0,0,15,🟢 自然增长为主
62,867038,重回80年代成首富,8.9,27995,26729,1155,25281,24081,1095,50,50,0,0,0,0,30,🟢 自然增长为主
63,816605,修仙前传,9.3,235693,234450,1134,207566,206560,918,1049,1049,0,0,0,0,30,🟢 自然增长为主
64,837610,地球online,4.4,55290,54074,1109,57361,56158,1098,74,73,1,0,0,0,15,🟢 自然增长为主
65,885492,FPS练枪模拟器,7.9,45073,43862,1105,46213,45002,1105,28,28,0,0,0,0,30,🟢 自然增长为主
66,852709,徒步中国模拟器,8.5,51210,50030,1077,47495,46358,1037,79,79,0,0,0,0,30,🟢 自然增长为主
67,862281,Life Journey人生轨迹,8.7,17179,16018,1059,14913,13809,1007,202,202,0,0,0,0,30,🟢 自然增长为主
68,898562,诡异复苏,7.9,51176,50031,1045,47381,46323,965,203,197,5,0,0,0,0,✅ 自然增长
69,892961,末日囤货计划,8.9,44427,43322,1008,39748,38804,861,172,167,5,34,34,0,0,✅ 自然增长
70,840742,SBTI人格测试,8.4,794700,793608,996,767901,766969,850,1240,1240,0,0,0,0,30,🟢 自然增长为主
71,838319,巅峰征程:电竞人生,8.4,62805,61717,993,55296,54277,930,147,147,0,0,0,0,30,🟢 自然增长为主
72,894446,咯咯哒农场,8.4,34471,33384,992,30278,29356,841,136,134,2,0,0,0,0,✅ 自然增长
73,875520,小兵的故事,7.6,61897,60859,947,54053,53135,838,101,100,1,0,0,0,15,🟢 自然增长为主
74,886560,三国：合字成军,8.6,47694,46656,947,41134,40296,765,66,65,1,0,0,0,15,🟢 自然增长为主
75,901914,我的亿万人生,7.7,6295,5264,941,5856,4865,904,17,17,0,0,0,0,30,🟢 自然增长为主
76,904574,弹珠机乐园,8.8,19955,18933,932,18733,17782,868,70,69,1,0,0,0,15,🟢 自然增长为主
77,878198,抽卡文明,7.1,46224,45226,911,38888,38050,765,46,46,0,0,0,0,0,✅ 自然增长
78,910123,挥剑一亿次,8.9,11349,10373,891,9448,8653,725,35,35,0,0,0,0,0,✅ 自然增长
79,909672,凡尘问道,9.8,7949,7015,852,6639,5864,707,69,68,1,0,0,0,0,✅ 自然增长
80,867791,3D翡翠切石模拟器,7.7,46486,45566,839,44416,43531,807,55,55,0,0,0,0,0,✅ 自然增长
81,837881,伪人超市,6.9,123916,123004,832,124696,123818,801,91,91,0,0,0,0,0,✅ 自然增长
82,888613,开局攻击只有1,7.2,43806,42896,830,34085,33385,639,60,58,2,0,0,0,0,✅ 自然增长
83,894172,金币推推乐,6.5,27664,26769,817,25649,24812,764,62,61,1,1,1,0,0,✅ 自然增长
84,917648,掘进,8.9,8692,7805,809,7585,6823,695,57,54,3,15,15,0,0,✅ 自然增长
85,876002,越跳越有钱,7.8,93295,92412,806,79763,79079,624,519,517,2,0,0,0,0,✅ 自然增长
86,921634,生态瓶日记,6.8,6204,5322,805,5595,4803,723,14,11,3,0,0,0,0,✅ 自然增长
87,917548,中国成长人生,7.4,13198,12317,804,12125,11291,761,19,19,0,0,0,0,0,✅ 自然增长
88,892137,我的火比你的更大,8.9,82611,81754,782,76072,75339,669,295,293,2,0,0,0,0,✅ 自然增长
89,857757,请出示侨批,9.6,61115,60259,781,54634,53844,721,279,279,0,0,0,0,0,✅ 自然增长
90,895544,伐木模拟器,8.8,53895,53042,778,45884,45267,563,120,119,1,0,0,0,0,✅ 自然增长
91,912677,黑洞无限大,8.5,12062,11211,776,10541,9788,687,35,35,0,0,0,0,0,✅ 自然增长
92,901050,推理密码,9.5,38064,37215,775,35512,34738,706,63,63,0,1,1,0,0,✅ 自然增长
93,865004,末代帝王模拟器,9.0,2541,1694,773,2316,1470,772,14,14,0,0,0,0,0,✅ 自然增长
94,912177,箱中废土,9.0,17725,16879,772,15685,14957,664,57,55,2,0,0,0,0,✅ 自然增长
95,825840,百世流芳,9.1,65635,64795,766,54109,53404,643,640,635,5,0,0,0,0,✅ 自然增长
96,899625,静心拼图,8.4,39603,38765,765,37711,36943,701,98,93,5,0,0,0,0,✅ 自然增长
97,921116,诡域摸金：我有一间古董屋,9.2,5238,4421,745,4577,3906,612,43,38,5,0,0,0,0,✅ 自然增长
98,882064,直播卖古董第一人,8.5,22058,21245,742,19416,18736,620,76,75,1,0,0,0,0,✅ 自然增长
99,837873,诸天无限:深渊,9.3,98159,97348,740,82040,81383,599,473,472,1,0,0,0,0,✅ 自然增长
100,848388,被女神嫌弃后，觉醒万亿返利系统,8.3,57672,56864,737,52493,51724,702,74,74,0,0,0,0,0,✅ 自然增长
101,874650,挂机魔界,8.7,26009,25207,732,19771,19152,565,59,58,1,0,0,0,0,✅ 自然增长
102,851950,西红市首富,8.6,48457,47657,730,44314,43538,708,28,28,0,0,0,0,0,✅ 自然增长
103,847385,集装箱竞拍王,7.8,105592,104799,724,97544,96815,665,153,153,0,0,0,0,0,✅ 自然增长
104,873342,红娘婚介所,7.1,28307,27537,703,26272,25559,651,58,57,1,0,0,0,0,✅ 自然增长
105,877532,跳跳青蛙,9.5,13303,12534,702,10989,10317,613,38,38,0,0,0,0,0,✅ 自然增长
106,906716,炒股入门：从散户到一线游资,9.5,6766,5997,702,6148,5421,663,50,50,0,2,2,0,0,✅ 自然增长
107,877746,每秒1属性，3天打爆星河,7.9,29586,28818,701,24181,23577,551,88,86,2,0,0,0,0,✅ 自然增长
108,889086,你画我猜,8.0,23080,22314,699,22283,21541,677,78,78,0,8,8,0,0,✅ 自然增长
109,851669,我要做皇帝,8.2,13075,12314,694,11789,11056,669,38,38,0,0,0,0,0,✅ 自然增长
110,856984,水浒传,9.1,46479,45721,692,40796,40076,657,132,131,1,11,11,0,0,✅ 自然增长
111,923482,趣味打字训练营,9.4,3417,2660,691,3314,2606,646,14,11,3,0,0,0,0,✅ 自然增长
112,896631,萌萌地下城：属性叠属性,8.6,6290,5537,687,5673,5098,525,35,33,2,123,123,0,0,✅ 自然增长
113,922455,蚁巢进化记,9.0,3415,2669,681,2916,2293,568,12,11,1,0,0,0,0,✅ 自然增长
114,837316,古代人生模拟器,7.5,22935,22192,678,20925,20187,673,24,24,0,0,0,0,0,✅ 自然增长
115,923522,只差一次,8.0,3757,3015,677,3278,2685,541,8,6,2,3,3,0,0,✅ 自然增长
116,886065,矿石粉碎工厂,9.5,38949,38216,669,31760,31194,516,99,97,2,0,0,0,0,✅ 自然增长
117,869891,极简炼器修仙,8.2,14586,13859,663,12786,12202,533,67,66,1,0,0,0,0,✅ 自然增长
118,908537,数码城装机小王,8.6,11267,10543,661,9973,9304,610,73,72,1,0,0,0,0,✅ 自然增长
119,923564,成都黑心养鸡二厂,9.4,2171,1458,651,1926,1297,574,12,10,2,0,0,0,0,✅ 自然增长
120,904119,这要怎么合成！,9.0,11818,11111,645,10130,9515,561,23,23,0,1,1,0,0,✅ 自然增长
121,901932,木之纪元,7.3,13596,12896,639,11672,11137,488,60,59,1,0,0,0,0,✅ 自然增长
122,865959,贵族发家史,8.9,20700,20014,626,17615,17059,507,120,120,0,0,0,0,0,✅ 自然增长
123,849017,100美元,8.9,68139,67454,625,62313,61669,588,383,379,4,0,0,0,0,✅ 自然增长
