rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,921865,军旅,8.3,120120,62517,57603,117907,61428,56479,315,168,147,0,0,0,10,✅ 自然增长
2,848832,上岸模拟器,8.3,38941,19943,18998,38447,19461,18986,14,11,3,0,0,0,45,🟡 可能有广告
3,884085,花掉马斯克的金钱,7.4,368470,355007,13463,361091,347932,13159,183,180,3,64,55,9,30,🟢 自然增长为主
4,878915,古代清官模拟器,9.0,60672,48854,11818,56915,45439,11476,92,83,9,0,0,0,15,🟢 自然增长为主
5,911108,奖来：彩票中了7000万之后的人生启动！,7.8,38115,26569,11546,36553,25450,11103,54,48,6,10,10,0,15,🟢 自然增长为主
6,863515,边境检查站,7.1,194803,187864,6939,190922,184147,6775,138,137,1,0,0,0,30,🟢 自然增长为主
7,907735,吃点·外卖模拟器,9.2,68100,62837,5263,66175,61056,5119,179,172,7,0,0,0,0,✅ 自然增长
8,875570,人生副本,6.1,79175,74260,4915,77732,72922,4810,82,80,2,0,0,0,15,🟢 自然增长为主
9,895938,一品之路,7.6,25726,20950,4776,24125,19498,4627,47,45,2,0,0,0,15,🟢 自然增长为主
10,861470,天机六爻,9.1,177260,172546,4714,165888,161400,4488,425,415,10,0,0,0,0,✅ 自然增长
11,834640,昏君模拟器：权力整活,7.9,117278,112714,4564,106264,101816,4448,106,106,0,0,0,0,30,🟢 自然增长为主
12,898983,外卖单王模拟器,8.6,52081,47902,4179,49144,45185,3959,114,109,5,0,0,0,0,✅ 自然增长
13,895177,废车拆出一个亿,8.7,52479,48861,3618,48424,45008,3416,48,46,2,0,0,0,15,🟢 自然增长为主
14,874896,匡扶汉室,9.0,70402,66787,3615,62702,59380,3322,272,269,3,0,0,0,15,🟢 自然增长为主
15,899597,我的足球人生,9.0,18263,14725,3538,17105,13742,3363,137,126,11,14,14,0,0,✅ 自然增长
16,902150,幸运弹球,9.2,45092,41875,3217,39176,36305,2871,95,92,3,0,0,0,15,🟢 自然增长为主
17,922540,财富磨坊,9.0,25147,22056,3091,21898,19153,2745,80,74,6,0,0,0,0,✅ 自然增长
18,899626,判卷捞人,8.3,76591,73617,2974,72775,69927,2848,75,73,2,2,2,0,15,🟢 自然增长为主
