rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,43639,我的世界：移动版,6.5,67925136,67827583,97553,39720222,39677476,42746,124974,124851,123,473138,473138,0,0,✅ 自然增长
2,165287,Phigros,9.5,54710532,54664205,46327,18523001,18503839,19162,104931,104899,32,49397,49397,0,15,🟢 自然增长为主
3,206776,蛋仔派对,7.8,40278853,40242910,35943,38495382,38457437,37945,50284,50204,80,249515,249515,0,0,✅ 自然增长
4,45213,心动小镇,8.6,60731362,60696579,34783,39416847,39402582,14265,248239,248006,233,2402743,2402755,-12,0,✅ 自然增长
5,281223,诡秘之主,7.3,1884849,1854425,30424,2948616,2934170,14446,18317,18149,168,2269212,2269924,-712,0,✅ 自然增长
6,58881,香肠派对,8.6,274997782,274968881,28901,43302272,43294790,7482,730980,730959,21,850338,850338,0,25,🟢 自然增长为主
7,168332,原神,7.9,91807925,91786911,21014,38839631,38829828,9803,505985,505947,38,3114738,3114744,-6,0,✅ 自然增长
8,815993,TapAim,7.2,4445236,4424592,20644,3170452,3157327,13125,1302,1295,7,29521,29521,0,15,🟢 自然增长为主
9,62448,光·遇,7.9,44961221,44941278,19943,22287732,22277106,10626,138020,138001,19,1082073,1082073,0,15,🟢 自然增长为主
10,714123,超自然行动组,7.1,18163458,18144031,19427,12620877,12608308,12569,40584,40491,93,2808,2808,0,0,✅ 自然增长
11,241790,Phigrim（TapTap测试版）,8.0,4901037,4881857,19180,3155642,3144471,11171,4808,4801,7,374890,374891,-1,15,🟢 自然增长为主
12,714119,异环,7.1,8492513,8474137,18376,9354036,9346307,7729,63119,63078,41,6286848,6286956,-108,0,✅ 自然增长
13,224267,崩坏：星穹铁道,7.5,32508764,32491224,17540,19659823,19653257,6566,130278,130257,21,4294155,4294169,-14,5,✅ 自然增长
14,330259,三角洲行动,5.5,20853753,20836908,16845,34366288,34329450,36838,51895,51780,115,3624132,3624145,-13,0,✅ 自然增长
15,234493,绝区零,6.7,17762850,17747771,15079,14060127,14054991,5136,114212,114201,11,7222465,7222504,-39,25,🟢 自然增长为主
16,239372,燕云十六声,7.1,15090409,15075608,14801,10554005,10547054,6951,39054,39026,28,2168100,2168125,-25,0,✅ 自然增长
17,2301,王者荣耀,5.0,53466299,53451576,14723,97983525,97946089,37436,371508,371454,54,4327,4327,0,0,✅ 自然增长
18,54031,植物大战僵尸2,6.1,15548166,15533750,14416,10081114,10069858,11256,25947,25910,37,0,0,0,0,✅ 自然增长
19,49995,第五人格,7.3,30103828,30090340,13488,22732135,22722701,9434,94730,94705,25,1531331,1531332,-1,0,✅ 自然增长
20,722210,无畏契约：源能行动,7.7,8532980,8519986,12994,17025436,17000746,24690,18297,18287,10,3843625,3843645,-20,15,🟢 自然增长为主
21,234280,鸣潮,7.1,23471034,23458206,12828,13389199,13383479,5720,155405,155375,30,4396185,4396206,-21,0,✅ 自然增长
22,798699,完蛋！我被男同学包围了,8.7,376407,363690,12717,403128,390196,12932,1821,1795,26,6889,6555,334,0,✅ 自然增长
23,176937,金铲铲之战,6.5,15869204,15856606,12598,30294359,30282557,11802,38501,38490,11,1310857,1310860,-3,15,🟢 自然增长为主
24,70253,明日方舟,8.1,34052828,34040649,12179,12553501,12548876,4625,196371,196358,13,576077,576077,0,5,✅ 自然增长
25,12492,阴阳师,7.4,14157795,14146586,11209,5107761,5103404,4357,59275,59268,7,9637,9637,0,25,🟢 自然增长为主
26,767047,超人飞行模拟器,5.3,276971,265822,11149,248422,239150,9272,248,242,6,6852,6852,0,15,🟢 自然增长为主
27,278604,米加小镇世界,7.5,10397846,10386957,10889,4925986,4919879,6107,19797,19781,16,0,0,0,0,✅ 自然增长
28,223265,初音未来：缤纷舞台,7.8,5818126,5807300,10826,4214866,4209184,5682,13417,13393,24,1323534,1323544,-10,0,✅ 自然增长
29,884591,变色龙躲猫猫,8.7,554270,544079,10191,400054,392730,7324,1389,1355,34,10116,9924,192,0,✅ 自然增长
30,34751,元气骑士,8.6,38337575,38328608,8967,20581756,20576465,5291,148069,148044,25,28380,28381,-1,0,✅ 自然增长
31,70056,和平精英,7.1,55440888,55432067,8821,84797645,84765253,32392,197845,197830,15,2231618,2231619,-1,0,✅ 自然增长
