rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,43639,我的世界：移动版,6.5,66373338,66235037,138301,39029784,38968984,60800,123179,123017,162,473141,473142,-1,0,✅ 自然增长
2,165287,Phigros,9.5,53885854,53813207,72647,18188591,18158900,29691,104301,104243,58,49397,49397,0,15,🟢 自然增长为主
3,168332,原神,7.9,91418670,91370590,48080,38666509,38649005,17504,505096,504984,112,3114825,3114830,-5,5,✅ 自然增长
4,206776,蛋仔派对,7.8,39755916,39709507,46409,37855182,37799060,56122,49345,49263,82,249537,249538,-1,0,✅ 自然增长
5,45213,心动小镇,8.5,60198329,60153143,45186,39187125,39166629,20496,245204,244915,289,2403021,2403041,-20,0,✅ 自然增长
6,815993,TapAim,7.1,4006593,3967524,39069,2883806,2862101,21705,1200,1190,10,29521,29521,0,30,🟢 自然增长为主
7,58881,香肠派对,8.6,274568466,274532273,36193,43195645,43186993,8652,730583,730560,23,850340,850340,0,25,🟢 自然增长为主
8,62448,光·遇,7.9,44652589,44617351,35238,22111838,22092380,19458,137546,137339,207,1082100,1082100,0,0,✅ 自然增长
9,714119,异环,7.1,8178969,8145854,33115,9227282,9215497,11785,61847,61555,292,6289495,6289640,-145,0,✅ 自然增长
10,77045,我的家长,6.1,31751,0,31751,2938518,2915341,23177,23225,23070,155,2700555,2698416,2139,0,✅ 自然增长
11,241790,Phigrim（TapTap测试版）,8.0,4600303,4568976,31327,2976815,2958932,17883,4696,4685,11,374925,374931,-6,15,🟢 自然增长为主
12,714123,超自然行动组,7.1,17856042,17830087,25955,12405931,12388344,17587,38872,38728,144,2809,2809,0,0,✅ 自然增长
13,330259,三角洲行动,5.5,20588107,20565578,22529,33701846,33646423,55423,50304,50089,215,3624401,3624417,-16,0,✅ 自然增长
14,798699,完蛋！我被男同学包围了,9.0,193074,170689,22385,218540,192961,25579,1312,1220,92,5070,4602,468,0,✅ 自然增长
15,278604,米加小镇世界,7.5,10195354,10174001,21353,4814279,4802656,11623,19380,19332,48,0,0,0,0,✅ 自然增长
16,884591,变色龙躲猫猫,8.2,347573,327073,20500,252471,237932,14539,699,616,83,5856,5307,549,0,✅ 自然增长
17,2301,王者荣耀,5.0,53239547,53219468,20079,97295013,97234277,60736,370687,370615,72,4327,4327,0,0,✅ 自然增长
18,722210,无畏契约：源能行动,7.7,8324323,8305917,18406,16585299,16547604,37695,17980,17943,37,3844085,3844116,-31,0,✅ 自然增长
19,884085,花掉马斯克的金钱,7.7,123254,105232,18022,121438,103700,17738,76,63,13,0,0,0,15,🟢 自然增长为主
20,49995,第五人格,7.3,29900948,29883402,17546,22578735,22565279,13456,94355,94320,35,1531347,1531349,-2,0,✅ 自然增长
21,224267,崩坏：星穹铁道,7.5,32280924,32264188,16736,19570675,19563917,6758,129630,129595,35,4294476,4294497,-21,0,✅ 自然增长
22,720041,潜水员戴夫,8.9,2411983,2395543,16440,3026515,3018254,8261,10210,10057,153,1535647,1535673,-26,0,✅ 自然增长
23,239372,燕云十六声,7.0,14885211,14869192,16019,10444872,10435738,9134,38646,38622,24,2168530,2168556,-26,0,✅ 自然增长
24,70056,和平精英,7.1,55287912,55274166,13746,84185882,84131134,54748,197604,197583,21,2231630,2231630,0,0,✅ 自然增长
25,234280,鸣潮,7.1,23208756,23195192,13564,13294615,13288928,5687,154637,154612,25,4396707,4396731,-24,0,✅ 自然增长
26,223265,初音未来：缤纷舞台,7.8,5660357,5646979,13378,4133475,4126656,6819,13161,13142,19,1323716,1323730,-14,0,✅ 自然增长
27,755604,遗忘之海,6.3,1394243,1381043,13200,2082261,2077077,5184,8513,8480,33,1556010,1556412,-402,5,✅ 自然增长
28,892953,高三最后300天,9.5,175075,162144,12931,169392,156756,12636,1132,1066,66,0,0,0,0,✅ 自然增长
29,234493,绝区零,6.7,17609410,17596603,12807,13993974,13988206,5768,113915,113899,16,7223342,7223388,-46,0,✅ 自然增长
30,34751,元气骑士,8.6,38198663,38186130,12533,20495517,20487905,7612,147800,147771,29,28382,28382,0,0,✅ 自然增长
31,7054,迷你世界,3.8,17082331,17069953,12378,19193292,19163477,29815,119080,119065,15,796,796,0,0,✅ 自然增长
32,832093,小画家模拟2,9.3,30699,19244,11455,41415,33143,8272,527,352,175,26588,26632,-44,0,✅ 自然增长
33,171957,练枪皇帝,7.4,4248092,4236991,11101,3281037,3273392,7645,1603,1601,2,64,64,0,30,🟢 自然增长为主
34,775759,赘婿,7.4,101695,91027,10668,190549,186090,4459,476,461,15,150710,150887,-177,0,✅ 自然增长
35,54031,植物大战僵尸2,6.1,15384410,15373833,10577,9942457,9932750,9707,25594,25561,33,0,0,0,0,✅ 自然增长
36,809320,后室：深入探索,7.8,1194420,1183923,10497,1005173,996819,8354,1655,1637,18,61435,60956,479,0,✅ 自然增长
37,716674,盗墓笔记：启程,7.2,192521,182593,9928,496949,491192,5757,1564,1530,34,433180,433456,-276,0,✅ 自然增长
38,767047,超人飞行模拟器,5.7,145377,135641,9736,139393,131217,8176,180,177,3,6855,6855,0,15,🟢 自然增长为主
39,70253,明日方舟,8.1,33938196,33928474,9722,12499213,12494497,4716,196249,196232,17,576090,576091,-1,0,✅ 自然增长
40,4,地铁跑酷,6.9,18922854,18913298,9556,17201108,17188989,12119,14316,14307,9,0,0,0,15,🟢 自然增长为主
41,716987,追迹迷城,9.4,116638,107600,9038,102960,95692,7268,1239,1137,102,38819,38748,71,0,✅ 自然增长
42,194610,泰拉瑞亚,8.9,18395344,18386482,8862,8115942,8113329,2613,115672,115656,16,1266741,1266743,-2,5,✅ 自然增长
43,760944,魂坠深境,8.7,249023,240403,8620,233003,226552,6451,4910,4681,229,73414,73437,-23,0,✅ 自然增长
44,827946,攀爬动物,8.8,1621362,1612757,8605,1183667,1178215,5452,3486,3468,18,78,78,0,0,✅ 自然增长
45,733908,失控进化,7.4,1697418,1688888,8530,4773493,4761141,12352,15242,15217,25,3157779,3157853,-74,0,✅ 自然增长
46,838479,单机推理杀,9.7,685772,677660,8112,607515,600267,7248,1859,1840,19,0,0,0,0,✅ 自然增长
47,227077,猛鬼宿舍,5.7,6847238,6839733,7505,3781856,3776891,4965,8895,8893,2,13692,13692,0,30,🟢 自然增长为主
48,188212,洛克王国：世界,7.3,6580852,6573384,7468,10968217,10957782,10435,70651,70626,25,3897580,3897655,-75,0,✅ 自然增长
49,191385,逆水寒,7.3,15052381,15045292,7089,10298854,10293900,4954,48366,48358,8,1775766,1775774,-8,0,✅ 自然增长
50,751029,我要当老祖,7.6,610213,603143,7070,467046,462170,4876,2276,2245,31,39717,39727,-10,0,✅ 自然增长
51,232326,明日方舟：终末地,6.0,5987280,5980229,7051,6944069,6940344,3725,93825,93765,60,4439894,4439952,-58,0,✅ 自然增长
52,747818,重返校园,5.9,1731206,1724446,6760,1554874,1549554,5320,1536,1533,3,118191,118120,71,15,🟢 自然增长为主
53,256328,海底大猎杀,5.0,4917493,4910795,6698,3358762,3354188,4574,3156,3152,4,0,0,0,15,🟢 自然增长为主
54,247977,再玩亿关,9.2,5607332,5600802,6530,3887341,3883139,4202,11718,11702,16,0,0,0,0,✅ 自然增长
55,233514,苍翼：混沌效应,9.0,5193365,5186871,6494,3266310,3263975,2335,14278,14266,12,540017,540019,-2,5,✅ 自然增长
56,7698,可口的比萨,7.3,4623180,4616714,6466,3620632,3616689,3943,12575,12569,6,160726,160726,0,15,🟢 自然增长为主
57,397030,超级收纳馆2,4.5,5703916,5697486,6430,4190094,4185580,4514,3153,3153,0,42205,42175,30,50,🟡 可能有广告
58,837252,崇祯直聘：明末官场沉浮模拟器,9.7,312614,306482,6132,291789,286241,5548,3570,3523,47,0,0,0,0,✅ 自然增长
59,737935,超市经理模拟器,8.4,2764006,2757882,6124,1959321,1955031,4290,22310,22257,53,0,0,0,0,✅ 自然增长
60,176937,金铲铲之战,6.5,15738185,15732091,6094,30123214,30110868,12346,38279,38268,11,1310895,1310897,-2,0,✅ 自然增长
61,13910,贪吃蛇大作战,6.6,4302958,4296906,6052,6924363,6914142,10221,6711,6707,4,0,0,0,15,🟢 自然增长为主
62,316964,蔚蓝档案,8.5,6532903,6526937,5966,3802536,3799226,3310,21613,21597,16,877550,877558,-8,0,✅ 自然增长
