rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,243110,王者万象棋,7.4,233738,0,233738,1183474,998781,184693,1899,1764,135,1186768,1185863,905,25,🟢 自然增长为主
2,12492,阴阳师,7.4,14303874,14249407,54467,5161408,5143834,17574,59354,59326,28,9637,9637,0,25,🟢 自然增长为主
3,921865,军旅,7.9,156228,120089,36139,152416,117876,34540,447,315,132,0,0,0,0,✅ 自然增长
4,842892,心理测试大全,9.3,33087,0,33087,31483,31461,22,81,81,0,5,4,1,90,🔴 高概率广告导入
5,43639,我的世界：移动版,6.6,68436916,68412840,24076,39946029,39935551,10478,125467,125444,23,473138,473138,0,15,🟢 自然增长为主
6,869311,灵魂契约,8.1,20601,0,20601,18010,17827,183,42,40,2,2177,2145,32,70,🔴 高概率广告导入
7,848832,上岸模拟器,7.7,57535,38932,18603,56831,38440,18391,15,14,1,0,0,0,30,🟢 自然增长为主
8,330259,三角洲行动,5.5,21060847,21044418,16429,34650689,34633750,16939,52276,52230,46,3623996,3624005,-9,0,✅ 自然增长
9,165287,Phigros,9.5,54991032,54977300,13732,18629618,18624563,5055,105151,105134,17,49397,49397,0,5,✅ 自然增长
10,234493,绝区零,6.7,17862912,17851235,11677,14098825,14094508,4317,114415,114353,62,7222006,7222055,-49,0,✅ 自然增长
11,923653,滴滴跑车：从负债开局开到临江首富,7.3,74741,63456,11285,72582,61753,10829,37,29,8,114,114,0,15,🟢 自然增长为主
12,62448,光·遇,7.9,45139599,45128594,11005,22366789,22362168,4621,138575,138552,23,1082061,1082062,-1,0,✅ 自然增长
13,878915,古代清官模拟器,8.9,71244,60666,10578,67105,56912,10193,108,92,16,0,0,0,0,✅ 自然增长
14,168332,原神,7.9,91974270,91964071,10199,38911354,38906933,4421,506269,506254,15,3114685,3114689,-4,0,✅ 自然增长
15,892953,高三最后300天,9.4,591219,581025,10194,571349,561765,9584,2813,2775,38,0,0,0,0,✅ 自然增长
16,206776,蛋仔派对,7.8,40473068,40463009,10059,38705478,38696305,9173,50593,50582,11,249503,249506,-3,0,✅ 自然增长
17,45213,心动小镇,8.6,60939161,60929367,9794,39504619,39500059,4560,249187,249143,44,2402594,2402606,-12,0,✅ 自然增长
18,884085,花掉马斯克的金钱,7.4,377997,368466,9531,370346,361083,9263,183,183,0,72,64,8,50,🟡 可能有广告
19,2301,王者荣耀,5.0,53586540,53577168,9372,98304326,98285349,18977,371917,371889,28,4327,4327,0,0,✅ 自然增长
20,911108,奖来：彩票中了7000万之后的人生启动！,7.6,47447,38108,9339,45427,36544,8883,68,54,14,10,10,0,0,✅ 自然增长
21,866257,塔塔冒险队,5.9,105210,96243,8967,108804,98400,10404,416,346,70,11580,11591,-11,0,✅ 自然增长
22,234280,鸣潮,7.1,23598580,23589767,8813,13433117,13429979,3138,155624,155601,23,4395879,4395916,-37,5,✅ 自然增长
23,845759,灵武世界,7.9,63545,55471,8074,52504,48810,3694,308,276,32,42449,42641,-192,0,✅ 自然增长
24,70253,明日方舟,8.1,34197284,34189521,7763,12605303,12602012,3291,196552,196545,7,576075,576075,0,15,🟢 自然增长为主
25,176937,金铲铲之战,6.4,15993914,15986174,7740,30459946,30447611,12335,38785,38766,19,1310830,1310836,-6,0,✅ 自然增长
26,238377,祖宗模拟器,9.1,4210693,4203169,7524,3249465,3243338,6127,58151,58051,100,64246,64247,-1,0,✅ 自然增长
27,281223,诡秘之主,7.0,2048387,2040908,7479,3018947,3016575,2372,19205,19174,31,2263596,2264078,-482,0,✅ 自然增长
28,239372,燕云十六声,7.1,15208972,15201521,7451,10612053,10608353,3700,39320,39291,29,2167871,2167908,-37,0,✅ 自然增长
29,822532,正中靶心2,4.6,7316,0,7316,7250,6613,637,105,87,18,6771,6605,166,20,🟢 自然增长为主
30,714123,超自然行动组,7.0,18296876,18289568,7308,12697237,12693698,3539,41319,41283,36,2807,2807,0,0,✅ 自然增长
31,49995,第五人格,7.3,30207958,30200657,7301,22799184,22795010,4174,94893,94888,5,1531325,1531326,-1,15,🟢 自然增长为主
32,760944,魂坠深境,8.6,385431,378205,7226,346826,339188,7638,7491,7322,169,73003,73012,-9,0,✅ 自然增长
33,900069,古玩人生,9.2,95866,88690,7176,89500,82828,6672,366,353,13,0,0,0,0,✅ 自然增长
34,837252,崇祯直聘：明末官场沉浮模拟器,9.6,433559,426532,7027,402172,395790,6382,4220,4187,33,0,0,0,0,✅ 自然增长
35,54031,植物大战僵尸2,6.2,15656504,15649535,6969,10160705,10155494,5211,26110,26108,2,0,0,0,30,🟢 自然增长为主
36,58881,香肠派对,8.6,275151472,275144678,6794,43337678,43336281,1397,731078,731073,5,850336,850336,0,25,🟢 自然增长为主
37,925662,人生模拟器,7.6,13990,7314,6676,13713,7115,6598,25,23,2,1,1,0,30,🟢 自然增长为主
38,224267,崩坏：星穹铁道,7.5,32620835,32614286,6549,19701652,19699061,2591,130906,130888,18,4293964,4293982,-18,5,✅ 自然增长
39,902912,穿越80年代,8.1,73211,66734,6477,73028,66840,6188,264,255,9,0,0,0,0,✅ 自然增长
40,922296,打造国际都市,8.6,35828,29542,6286,34650,28715,5935,214,197,17,0,0,0,0,✅ 自然增长
41,656640,我独自生活,9.0,3314636,3308463,6173,2830019,2824267,5752,9339,9331,8,119384,119386,-2,0,✅ 自然增长
42,34751,元气骑士,8.6,38411544,38405854,5690,20626866,20623557,3309,148171,148162,9,28380,28380,0,0,✅ 自然增长
43,714119,异环,7.1,8612788,8607336,5452,9399464,9397551,1913,63409,63396,13,6285588,6285743,-155,5,✅ 自然增长
44,354563,完蛋！我被美女包围了！,7.1,5884774,5879454,5320,5822907,5818436,4471,7258,7254,4,1517349,1517357,-8,15,🟢 自然增长为主
45,722210,无畏契约：源能行动,7.7,8623057,8617790,5267,17186656,17177776,8880,18382,18378,4,3843408,3843440,-32,15,🟢 自然增长为主
46,716987,追迹迷城,9.4,275517,270365,5152,217939,214184,3755,2565,2514,51,39273,39281,-8,0,✅ 自然增长
47,863515,边境检查站,7.0,199728,194799,4929,195724,190918,4806,140,138,2,0,0,0,15,🟢 自然增长为主
48,720041,潜水员戴夫,8.9,2575311,2570432,4879,3141443,3138060,3383,10865,10862,3,1535143,1535173,-30,15,🟢 自然增长为主
49,903578,国运擂台：我召唤华夏诸神,7.4,74352,69589,4763,66501,62198,4303,134,130,4,0,0,0,15,🟢 自然增长为主
50,194610,泰拉瑞亚,8.9,18567458,18562934,4524,8165104,8163841,1263,116312,116306,6,1266669,1266674,-5,5,✅ 自然增长
51,890876,崇祯模拟器,7.1,64490,60104,4386,61056,56883,4173,143,140,3,0,0,0,15,🟢 自然增长为主
52,909114,排长崛起,8.5,46729,42374,4355,43727,39596,4131,73,71,2,0,0,0,15,🟢 自然增长为主
53,751029,我要当老祖,7.6,750350,746125,4225,567369,564213,3156,2451,2450,1,39606,39609,-3,30,🟢 自然增长为主
54,926724,我是警察，我太想进步了,0.0,7231,3093,4138,7263,3163,4100,4,2,2,5,5,0,15,🟢 自然增长为主
55,928422,心动的公寓,9.2,4642,569,4073,4372,537,3835,30,1,29,0,0,0,0,✅ 自然增长
56,232326,明日方舟：终末地,6.1,6151650,6147583,4067,7015052,7013563,1489,95219,95197,22,4438143,4438197,-54,0,✅ 自然增长
57,861470,天机六爻,9.1,181320,177256,4064,169739,165884,3855,427,425,2,0,0,0,15,🟢 自然增长为主
58,70056,和平精英,7.1,55509781,55505719,4062,85019553,85007854,11699,197911,197908,3,2231610,2231610,0,15,🟢 自然增长为主
59,758056,开局五个亿,6.2,672558,668542,4016,591764,588133,3631,355,356,-1,42953,42953,0,30,🟢 自然增长为主
60,907735,吃点·外卖模拟器,9.2,72038,68095,3943,69965,66173,3792,189,179,10,0,0,0,0,✅ 自然增长
61,908506,天下归心,7.2,39647,35734,3913,36143,32618,3525,238,222,16,0,0,0,0,✅ 自然增长
62,898983,外卖单王模拟器,8.6,55939,52080,3859,52812,49143,3669,116,114,2,0,0,0,15,🟢 自然增长为主
63,838479,单机推理杀,9.7,819952,816132,3820,725027,721694,3333,2103,2100,3,0,0,0,15,🟢 自然增长为主
64,899597,我的足球人生,9.0,21780,18262,3518,20439,17105,3334,147,137,10,14,14,0,0,✅ 自然增长
65,895938,一品之路,7.5,29157,25724,3433,27382,24123,3259,50,47,3,0,0,0,15,🟢 自然增长为主
66,256335,土豆兄弟,6.8,5385121,5381709,3412,4086358,4084484,1874,6947,6939,8,394891,394900,-9,0,✅ 自然增长
67,384185,祖宗模拟器：传承,9.2,2559365,2556093,3272,2051946,2049158,2788,82691,82605,86,93923,93924,-1,0,✅ 自然增长
68,223265,初音未来：缤纷舞台,7.8,5882992,5879755,3237,4243951,4242652,1299,13514,13509,5,1323477,1323482,-5,0,✅ 自然增长
69,233514,苍翼：混沌效应,9.0,5293354,5290141,3213,3309965,3308487,1478,14428,14422,6,539926,539931,-5,0,✅ 自然增长
