rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,43639,我的世界：移动版,6.5,65863009,65724997,138012,38804493,38745588,58905,122598,122487,111,473142,473142,0,15,🟢 自然增长为主
2,165287,Phigros,9.5,53611022,53530287,80735,18077295,18045248,32047,104114,104066,48,49398,49398,0,25,🟢 自然增长为主
3,716674,盗墓笔记：启程,7.6,133178,75113,58065,480690,464297,16393,1362,1147,215,434776,435222,-446,0,✅ 自然增长
4,815993,TapAim,7.0,3825753,3781455,44298,2776000,2747342,28658,1155,1144,11,29521,29521,0,30,🟢 自然增长为主
5,206776,蛋仔派对,7.8,39591158,39549620,41538,37650537,37599807,50730,49060,48986,74,249538,249539,-1,0,✅ 自然增长
6,45213,心动小镇,8.5,60042573,60002613,39960,39117528,39099899,17629,244245,244040,205,2403096,2403116,-20,0,✅ 自然增长
7,58881,香肠派对,8.6,274436138,274401043,35095,43164554,43156490,8064,730492,730448,44,850342,850342,0,5,✅ 自然增长
8,775759,赘婿,8.3,30835,0,30835,165956,159403,6553,280,266,14,151836,149739,2097,25,🟢 自然增长为主
9,278604,米加小镇世界,7.5,10095799,10066590,29209,4764815,4750574,14241,19154,19063,91,0,0,0,0,✅ 自然增长
10,168332,原神,7.9,91195520,91166728,28792,38590181,38578307,11874,504354,504291,63,3114843,3114844,-1,0,✅ 自然增长
11,798699,完蛋！我被男同学包围了,9.4,119449,94327,25122,137476,110076,27400,957,841,116,3951,3644,307,0,✅ 自然增长
12,241790,Phigrim（TapTap测试版）,8.0,4479787,4454733,25054,2907412,2892102,15310,4654,4645,9,374942,374943,-1,15,🟢 自然增长为主
13,62448,光·遇,7.9,44549944,44527425,22519,22046907,22032777,14130,137041,137005,36,1082102,1082102,0,0,✅ 自然增长
14,330259,三角洲行动,5.5,20504589,20482294,22295,33490692,33439048,51644,49662,49490,172,3624464,3624485,-21,0,✅ 自然增长
15,884591,变色龙躲猫猫,8.0,264731,242689,22042,195543,180481,15062,456,397,59,5307,5307,0,0,✅ 自然增长
16,714123,超自然行动组,7.1,17766750,17745568,21182,12338862,12322716,16146,38246,38099,147,2809,2809,0,0,✅ 自然增长
17,760944,魂坠深境,8.8,203968,185792,18176,198685,184813,13872,3906,3517,389,73547,73596,-49,0,✅ 自然增长
18,714119,异环,7.1,8053543,8035964,17579,9179773,9171987,7786,60958,60875,83,6290143,6290282,-139,0,✅ 自然增长
19,892953,高三最后300天,9.5,139467,122456,17011,135177,118911,16266,929,793,136,0,0,0,0,✅ 自然增长
20,2301,王者荣耀,5.0,53169175,53152209,16966,97061369,97005413,55956,370431,370359,72,4327,4327,0,0,✅ 自然增长
21,722210,无畏契约：源能行动,7.7,8259879,8243206,16673,16442228,16408093,34135,17869,17833,36,3844192,3844209,-17,0,✅ 自然增长
22,767047,超人飞行模拟器,5.8,102392,86557,15835,102175,88193,13982,148,139,9,6855,6856,-1,15,🟢 自然增长为主
23,239372,燕云十六声,7.0,14827983,14813003,14980,10410574,10401493,9081,38560,38532,28,2168633,2168659,-26,0,✅ 自然增长
24,49995,第五人格,7.3,29837950,29823422,14528,22528342,22515889,12453,94234,94214,20,1531350,1531352,-2,0,✅ 自然增长
25,234493,绝区零,6.7,17563745,17550414,13331,13972425,13966641,5784,113823,113789,34,7223529,7223568,-39,0,✅ 自然增长
