rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,43639,我的世界：移动版,6.5,67724035,67689643,92376,39632291,39616791,41632,124720,124680,106,473139,473139,0,0,✅ 自然增长
2,165287,Phigros,9.5,54612312,54595221,45906,18482777,18475741,18898,104862,104846,43,49397,49397,0,15,🟢 自然增长为主
3,281223,诡秘之主,7.3,1818552,1804352,38139,2917442,2911006,17286,17940,17808,355,2270719,2271053,-896,0,✅ 自然增长
4,45213,心动小镇,8.6,60659884,60647693,32743,39387543,39382397,13821,247810,247745,176,2402767,2402775,-23,0,✅ 自然增长
5,206776,蛋仔派对,7.8,40205663,40193906,31578,38414647,38399932,39524,50132,50105,71,249517,249518,-4,0,✅ 自然增长
6,58881,香肠派对,8.6,274940113,274930493,25840,43287579,43285144,6539,730947,730937,26,850338,850338,0,5,✅ 自然增长
7,815993,TapAim,7.2,4398972,4390064,23926,3140483,3134506,16053,1291,1290,2,29521,29521,0,30,🟢 自然增长为主
8,224267,崩坏：星穹铁道,7.5,32471026,32462127,23902,19646097,19643380,7297,130220,130201,50,4294194,4294199,-13,5,✅ 自然增长
9,892953,高三最后300天,9.4,450524,442406,21806,437193,429380,20985,2371,2335,98,0,0,0,0,✅ 自然增长
10,714119,异环,7.1,8454050,8446155,21205,9337779,9334450,8943,63055,63033,58,6287109,6287166,-153,0,✅ 自然增长
11,12492,阴阳师,7.4,14132511,14124715,20941,5098014,5095315,7248,59267,59264,7,9637,9637,0,25,🟢 自然增长为主
12,168332,原神,7.9,91764830,91757217,20447,38819529,38815843,9899,505912,505895,47,3114747,3114749,-4,0,✅ 自然增长
13,62448,光·遇,7.9,44920371,44913455,18576,22265584,22261615,10659,137983,137975,21,1082074,1082075,-2,0,✅ 自然增长
14,714123,超自然行动组,7.1,18123525,18116972,17600,12593715,12588732,13383,40370,40331,103,2808,2808,0,0,✅ 自然增长
15,241790,Phigrim（TapTap测试版）,8.0,4860649,4854306,17037,3132140,3128334,10224,4793,4792,4,374897,374898,-3,30,🟢 自然增长为主
16,798699,完蛋！我被男同学包围了,8.7,349595,343753,15691,377148,372048,13699,1771,1763,21,6447,6414,90,0,✅ 自然增长
17,330259,三角洲行动,5.5,20819512,20813786,15381,34288449,34274122,38480,51720,51685,94,3624163,3624170,-17,0,✅ 自然增长
18,54031,植物大战僵尸2,6.1,15515489,15510260,14044,10054839,10051122,9984,25874,25864,27,0,0,0,0,✅ 自然增长
19,234280,鸣潮,7.1,23443700,23438507,13950,13377883,13375972,5133,155313,155298,40,4396247,4396261,-39,5,✅ 自然增长
20,239372,燕云十六声,7.1,15058805,15053734,13621,10539637,10537108,6794,38975,38960,42,2168155,2168164,-24,0,✅ 自然增长
21,2301,王者荣耀,5.0,53436485,53431545,13267,97903794,97888528,41002,371400,371383,46,4327,4327,0,0,✅ 自然增长
22,722210,无畏契约：源能行动,7.7,8506485,8501881,12366,16972973,16962067,29294,18260,18265,-12,3843663,3843675,-32,50,🟡 可能有广告
23,49995,第五人格,7.3,30076643,30072133,12114,22712610,22709011,9666,94688,94680,20,1531332,1531332,-1,0,✅ 自然增长
24,7054,迷你世界,3.8,17207962,17203621,11658,19488142,19480151,21465,119332,119321,30,796,796,0,0,✅ 自然增长
25,884591,变色龙躲猫猫,8.7,532735,528455,11495,384648,381568,8274,1304,1289,39,9679,9593,232,0,✅ 自然增长
26,278604,米加小镇世界,7.5,10374729,10370553,11218,4913096,4910765,6261,19749,19743,15,0,0,0,0,✅ 自然增长
27,139301,使命召唤手游,7.6,13146995,13142968,10816,19968924,19966369,6864,72949,72945,12,3724716,3724717,-2,0,✅ 自然增长
28,884085,花掉马斯克的金钱,7.5,279008,275401,9687,274162,270665,9394,159,157,6,0,0,0,15,🟢 自然增长为主
29,223265,初音未来：缤纷舞台,7.8,5796128,5792522,9687,4203638,4201849,4804,13378,13371,20,1323562,1323565,-8,0,✅ 自然增长
30,767047,超人飞行模拟器,5.3,254623,251162,9295,229825,226840,8017,239,237,4,6852,6852,0,15,🟢 自然增长为主
31,176937,金铲铲之战,6.5,15845501,15842105,9122,30270949,30266677,11473,38471,38464,17,1310864,1310865,-1,0,✅ 自然增长
32,34751,元气骑士,8.6,38318903,38315642,8758,20570646,20568618,5448,148026,148019,18,28381,28381,0,0,✅ 自然增长
33,234493,绝区零,6.7,17735083,17731860,8658,14050343,14048826,4073,114179,114174,14,7222554,7222574,-53,0,✅ 自然增长
34,70056,和平精英,7.1,55422872,55419768,8336,84729024,84715828,35444,197816,197811,14,2231620,2231621,-1,0,✅ 自然增长
35,852992,大侠闯天下,8.7,49342,46277,8231,81927,79995,5188,1193,1090,276,55765,55785,-53,0,✅ 自然增长
36,4,地铁跑酷,6.9,19051104,19048121,8014,17343440,17339910,9480,14363,14363,1,0,0,0,30,🟢 自然增长为主
37,827946,攀爬动物,8.8,1718271,1715350,7845,1245658,1243796,5000,3688,3683,12,78,78,0,0,✅ 自然增长
38,903194,诡世：你的星座决定你的异能,9.4,42742,40017,7320,39444,36980,6617,210,199,31,0,0,0,0,✅ 自然增长
39,247977,再玩亿关,9.2,5686568,5683879,7223,3940216,3938330,5065,11853,11849,12,0,0,0,0,✅ 自然增长
40,194610,泰拉瑞亚,8.9,18492278,18489604,7182,8143134,8142441,1863,116112,116103,25,1266704,1266706,-5,0,✅ 自然增长
41,70253,明日方舟,8.1,34032560,34029968,6961,12545157,12543876,3442,196350,196347,9,576077,576078,-2,0,✅ 自然增长
42,77045,我的家长,6.3,201102,198572,6796,3071992,3070056,5201,23650,23645,15,2699808,2699818,-27,0,✅ 自然增长
