rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,884085,花掉马斯克的金钱,7.5,304386,0,304386,298663,294361,4302,166,164,2,9,9,0,80,🔴 高概率广告导入
2,43639,我的世界：移动版,6.5,68077019,68014385,62634,39785355,39797910,-12555,125133,125081,52,473138,473138,0,55,🟡 可能有广告
3,884513,指点江山,8.4,44802,0,44802,41100,39879,1221,320,309,11,126,120,6,70,🔴 高概率广告导入
4,165287,Phigros,9.5,54788840,54754522,34318,18553715,18559071,-5356,104997,104965,32,49397,49397,0,55,🟡 可能有广告
5,45213,心动小镇,8.6,60787338,60763088,24250,39440026,39443907,-3881,248537,248410,127,2402715,2402726,-11,20,🟢 自然增长为主
6,206776,蛋仔派对,7.8,40333577,40310714,22863,38554758,38566452,-11694,50376,50318,58,249514,249514,0,35,🟢 自然增长为主
7,281223,诡秘之主,7.3,1935346,1913951,21395,2972195,2976243,-4048,18606,18472,134,2267935,2268514,-579,20,🟢 自然增长为主
8,58881,香肠派对,8.6,275046579,275026865,19714,43313735,43316766,-3031,731007,730990,17,850338,850338,0,55,🟡 可能有广告
9,176937,金铲铲之战,6.4,15910160,15892317,17843,30320380,30322211,-1831,38572,38529,43,1310854,1310855,-1,35,🟢 自然增长为主
10,168332,原神,7.9,91846908,91829353,17555,38856353,38859030,-2677,506059,506018,41,3114731,3114735,-4,35,🟢 自然增长为主
11,62448,光·遇,7.9,44997907,44982002,15905,22305473,22308437,-2964,138070,138052,18,1082073,1082073,0,35,🟢 自然增长为主
12,330259,三角洲行动,5.5,20885689,20871136,14553,34428146,34437566,-9420,51990,51999,-9,3624106,3624120,-14,90,🔴 高概率广告导入
13,54031,植物大战僵尸2,6.1,15576589,15562210,14379,10100570,10102840,-2270,26025,25968,57,0,0,0,20,🟢 自然增长为主
14,714123,超自然行动组,7.1,18195672,18181597,14075,12640648,12644074,-3426,40743,40669,74,2808,2808,0,20,🟢 自然增长为主
15,224267,崩坏：星穹铁道,7.5,32539727,32525737,13990,19670297,19671841,-1544,130426,130314,112,4294115,4294135,-20,20,🟢 自然增长为主
16,714119,异环,7.1,8523502,8510410,13092,9366144,9368451,-2307,63184,63154,30,6286601,6286723,-122,35,🟢 自然增长为主
17,239372,燕云十六声,7.1,15117676,15105781,11895,10566869,10569128,-2259,39108,39083,25,2168054,2168069,-15,35,🟢 自然增长为主
18,2301,王者荣耀,5.0,53493019,53481231,11788,98045056,98055501,-10445,371587,371550,37,4327,4327,0,20,🟢 自然增长为主
19,234280,鸣潮,7.1,23496138,23484557,11581,13397312,13399093,-1781,155453,155431,22,4396127,4396159,-32,35,🟢 自然增长为主
20,815993,TapAim,7.2,4475835,4464280,11555,3190718,3182921,7797,1311,1309,2,29521,29521,0,30,🟢 自然增长为主
21,860527,地城狩猎,7.7,11295,0,11295,26012,24153,1859,196,151,45,23363,23461,-98,0,✅ 自然增长
22,241790,Phigrim（TapTap测试版）,8.0,4928906,4917928,10978,3172243,3175728,-3485,4820,4817,3,374886,374886,0,70,🔴 高概率广告导入
23,842161,江湖侠客行,8.7,10919,0,10919,8395,8350,45,111,111,0,12,6,6,90,🔴 高概率广告导入
24,891359,星环工厂,9.1,10375,0,10375,8627,8568,59,56,55,1,4,1,3,70,🔴 高概率广告导入
25,722210,无畏契约：源能行动,7.7,8555876,8545758,10118,17066396,17073129,-6733,18336,18322,14,3843576,3843604,-28,35,🟢 自然增长为主
26,49995,第五人格,7.3,30126863,30116812,10051,22747676,22750151,-2475,94771,94751,20,1531330,1531330,0,35,🟢 自然增长为主
27,234493,绝区零,6.7,17785200,17775393,9807,14068517,14069736,-1219,114251,114231,20,7222377,7222418,-41,35,🟢 自然增长为主
28,70253,明日方舟,8.1,34073542,34064004,9538,12561419,12562289,-870,196380,196373,7,576076,576077,-1,55,🟡 可能有广告
29,12492,阴阳师,7.4,14176654,14167761,8893,5114795,5115544,-749,59286,59281,5,9637,9637,0,55,🟡 可能有广告
30,34751,元气骑士,8.6,38355430,38346971,8459,20591713,20592616,-903,148087,148093,-6,28380,28380,0,90,🔴 高概率广告导入
31,223265,初音未来：缤纷舞台,7.8,5836746,5828850,7896,4223236,4225157,-1921,13439,13434,5,1323524,1323528,-4,55,🟡 可能有广告
32,4,地铁跑酷,6.9,19080400,19072890,7510,17377678,17378634,-956,14372,14369,3,0,0,0,55,🟡 可能有广告
33,716987,追迹迷城,9.5,226097,218630,7467,185052,185028,24,2164,2093,71,39388,39402,-14,20,🟢 自然增长为主
34,767047,超人飞行模拟器,5.3,293169,286120,7049,261501,263545,-2044,255,252,3,6852,6852,0,55,🟡 可能有广告
35,70056,和平精英,7.1,55456187,55449323,6864,84848108,84857630,-9522,197862,197852,10,2231616,2231618,-2,35,🟢 自然增长为主
36,884591,变色龙躲猫猫,8.7,571168,564334,6834,412228,407338,4890,1448,1420,28,10484,10330,154,0,✅ 自然增长
37,194610,泰拉瑞亚,8.9,18521027,18514489,6538,8151453,8151817,-364,116204,116192,12,1266690,1266693,-3,35,🟢 自然增长为主
38,798699,完蛋！我被男同学包围了,8.7,394767,388253,6514,421667,415183,6484,1855,1845,10,7291,7148,143,0,✅ 自然增长
39,278604,米加小镇世界,7.5,10413830,10407669,6161,4934862,4937021,-2159,19836,19815,21,0,0,0,20,🟢 自然增长为主
40,907735,吃点·外卖模拟器,9.1,18111,12068,6043,17505,11730,5775,63,46,17,0,0,0,0,✅ 自然增长
41,247977,再玩亿关,9.2,5712584,5706596,5988,3957924,3953758,4166,11894,11882,12,0,0,0,0,✅ 自然增长
42,751029,我要当老祖,7.7,707406,701797,5609,536134,536798,-664,2433,2434,-1,39630,39630,0,90,🔴 高概率广告导入
43,720041,潜水员戴夫,8.9,2521375,2515799,5576,3104093,3104639,-546,10804,10789,15,1535279,1535291,-12,35,🟢 自然增长为主
44,892953,高三最后300天,9.4,480604,475137,5467,465304,460266,5038,2520,2499,21,0,0,0,0,✅ 自然增长
45,827946,攀爬动物,8.8,1745282,1739918,5364,1263244,1260009,3235,3751,3745,6,78,78,0,0,✅ 自然增长
46,7054,迷你世界,3.8,17238694,17233735,4959,19559676,19565802,-6126,119380,119377,3,796,796,0,55,🟡 可能有广告
47,191385,逆水寒,7.3,15150312,15145354,4958,10357116,10357997,-881,48457,48451,6,1775539,1775543,-4,35,🟢 自然增长为主
