rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,43639,我的世界：移动版,6.5,66482503,66373338,109165,39077624,39029784,47840,123306,123179,127,473141,473141,0,0,✅ 自然增长
2,165287,Phigros,9.5,53944455,53885854,58601,18211735,18188591,23144,104345,104301,44,49397,49397,0,25,🟢 自然增长为主
3,45213,心动小镇,8.5,60235661,60198329,37332,39203962,39187125,16837,245452,245204,248,2403005,2403021,-16,0,✅ 自然增长
4,168332,原神,7.9,91455541,91418670,36871,38680280,38666509,13771,505171,505096,75,3114822,3114825,-3,5,✅ 自然增长
5,206776,蛋仔派对,7.8,39791514,39755916,35598,37898291,37855182,43109,49406,49345,61,249536,249537,-1,0,✅ 自然增长
6,58881,香肠派对,8.6,274598634,274568466,30168,43202748,43195645,7103,730608,730583,25,850340,850340,0,25,🟢 自然增长为主
7,815993,TapAim,7.1,4032437,4006593,25844,2898610,2883806,14804,1206,1200,6,29521,29521,0,30,🟢 自然增长为主
8,714119,异环,7.1,8203137,8178969,24168,9236440,9227282,9158,62057,61847,210,6289386,6289495,-109,0,✅ 自然增长
9,62448,光·遇,7.9,44674832,44652589,22243,22124553,22111838,12715,137599,137546,53,1082098,1082100,-2,0,✅ 自然增长
10,77045,我的家长,6.1,53246,31751,21495,2953099,2938518,14581,23310,23225,85,2700421,2700555,-134,0,✅ 自然增长
11,241790,Phigrim（TapTap测试版）,8.0,4620710,4600303,20407,2988762,2976815,11947,4700,4696,4,374924,374925,-1,30,🟢 自然增长为主
12,714123,超自然行动组,7.1,17876265,17856042,20223,12419779,12405931,13848,38961,38872,89,2809,2809,0,0,✅ 自然增长
13,722210,无畏契约：源能行动,7.7,8343762,8324323,19439,16615010,16585299,29711,18021,17980,41,3844060,3844085,-25,0,✅ 自然增长
14,892953,高三最后300天,9.5,194206,175075,19131,188267,169392,18875,1199,1132,67,0,0,0,0,✅ 自然增长
15,330259,三角洲行动,5.5,20606759,20588107,18652,33747258,33701846,45412,50473,50304,169,3624387,3624401,-14,0,✅ 自然增长
16,278604,米加小镇世界,7.5,10211989,10195354,16635,4823127,4814279,8848,19422,19380,42,0,0,0,0,✅ 自然增长
17,884591,变色龙躲猫猫,8.3,363186,347573,15613,263738,252471,11267,750,699,51,6222,5856,366,0,✅ 自然增长
18,2301,王者荣耀,5.0,53254876,53239547,15329,97342491,97295013,47478,370745,370687,58,4327,4327,0,0,✅ 自然增长
19,798699,完蛋！我被男同学包围了,9.0,207280,193074,14206,234497,218540,15957,1363,1312,51,5232,5070,162,0,✅ 自然增长
20,49995,第五人格,7.3,29914846,29900948,13898,22588949,22578735,10214,94390,94355,35,1531347,1531347,0,0,✅ 自然增长
21,884085,花掉马斯克的金钱,7.6,136871,123254,13617,134765,121438,13327,87,76,11,0,0,0,15,🟢 自然增长为主
22,239372,燕云十六声,7.0,14898057,14885211,12846,10452283,10444872,7411,38666,38646,20,2168511,2168530,-19,0,✅ 自然增长
23,224267,崩坏：星穹铁道,7.5,32293075,32280924,12151,19575918,19570675,5243,129652,129630,22,4294464,4294476,-12,0,✅ 自然增长
24,234280,鸣潮,7.1,23220124,23208756,11368,13299408,13294615,4793,154670,154637,33,4396687,4396707,-20,0,✅ 自然增长
25,70056,和平精英,7.1,55299043,55287912,11131,84228613,84185882,42731,197627,197604,23,2231629,2231630,-1,0,✅ 自然增长
26,223265,初音未来：缤纷舞台,7.8,5670830,5660357,10473,4138631,4133475,5156,13172,13161,11,1323703,1323716,-13,0,✅ 自然增长
27,4,地铁跑酷,6.9,18933161,18922854,10307,17212182,17201108,11074,14321,14316,5,0,0,0,15,🟢 自然增长为主
28,234493,绝区零,6.7,17619590,17609410,10180,13998414,13993974,4440,113942,113915,27,7223306,7223342,-36,0,✅ 自然增长
29,34751,元气骑士,8.6,38208746,38198663,10083,20501665,20495517,6148,147818,147800,18,28382,28382,0,0,✅ 自然增长
30,7054,迷你世界,3.8,17092247,17082331,9916,19216271,19193292,22979,119088,119080,8,796,796,0,15,🟢 自然增长为主
31,716987,追迹迷城,9.4,125511,116638,8873,110136,102960,7176,1302,1239,63,38964,38819,145,0,✅ 自然增长
32,767047,超人飞行模拟器,5.5,154199,145377,8822,146577,139393,7184,188,180,8,6855,6855,0,15,🟢 自然增长为主
33,720041,潜水员戴夫,8.9,2420702,2411983,8719,3031859,3026515,5344,10291,10210,81,1535631,1535647,-16,0,✅ 自然增长
34,755604,遗忘之海,6.3,1402953,1394243,8710,2085854,2082261,3593,8529,8513,16,1555763,1556010,-247,0,✅ 自然增长
35,54031,植物大战僵尸2,6.1,15392893,15384410,8483,9950453,9942457,7996,25617,25594,23,0,0,0,0,✅ 自然增长
36,809320,后室：深入探索,7.8,1202628,1194420,8208,1011748,1005173,6575,1666,1655,11,61716,61435,281,0,✅ 自然增长
37,171957,练枪皇帝,7.4,4256104,4248092,8012,3286704,3281037,5667,1606,1603,3,64,64,0,15,🟢 自然增长为主
38,827946,攀爬动物,8.8,1628630,1621362,7268,1188423,1183667,4756,3500,3486,14,78,78,0,0,✅ 自然增长
39,70253,明日方舟,8.1,33945461,33938196,7265,12502713,12499213,3500,196254,196249,5,576090,576090,0,15,🟢 自然增长为主
40,832093,小画家模拟2,9.3,37726,30699,7027,46983,41415,5568,643,527,116,26587,26588,-1,0,✅ 自然增长
41,194610,泰拉瑞亚,8.9,18402304,18395344,6960,8118029,8115942,2087,115683,115672,11,1266738,1266741,-3,5,✅ 自然增长
42,733908,失控进化,7.4,1704337,1697418,6919,4783010,4773493,9517,15255,15242,13,3157709,3157779,-70,0,✅ 自然增长
43,775759,赘婿,7.3,108328,101695,6633,193258,190549,2709,482,476,6,150602,150710,-108,15,🟢 自然增长为主
44,227077,猛鬼宿舍,5.7,6853863,6847238,6625,3786115,3781856,4259,8898,8895,3,13692,13692,0,15,🟢 自然增长为主
45,716674,盗墓笔记：启程,7.2,198738,192521,6217,500049,496949,3100,1576,1564,12,432979,433180,-201,0,✅ 自然增长
46,838479,单机推理杀,9.7,691909,685772,6137,612876,607515,5361,1868,1859,9,0,0,0,0,✅ 自然增长
47,751029,我要当老祖,7.6,616343,610213,6130,471465,467046,4419,2293,2276,17,39709,39717,-8,0,✅ 自然增长
48,760944,魂坠深境,8.6,255095,249023,6072,237244,233003,4241,5194,4910,284,73392,73414,-22,0,✅ 自然增长
49,191385,逆水寒,7.3,15058250,15052381,5869,10302634,10298854,3780,48374,48366,8,1775760,1775766,-6,0,✅ 自然增长
