rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,916505,我太想进步了,7.5,308738,0,308738,311639,98744,212895,555,214,341,12761,2433,10328,5,✅ 自然增长
2,912415,上岸乡镇后,6.1,77696,21227,56469,76225,20330,55895,153,85,68,0,0,0,25,🟢 自然增长为主
3,921865,军旅,8.1,62443,9860,52583,61345,9574,51771,168,77,91,0,0,0,5,✅ 自然增长
4,892953,高三最后300天,9.4,564142,533479,30663,545547,515792,29755,2744,2689,55,0,0,0,0,✅ 自然增长
5,43639,我的世界：移动版,6.6,68387552,68360297,27255,39923929,39910615,13314,125420,125394,26,473138,473138,0,15,🟢 自然增长为主
6,923653,滴滴跑车：从负债开局开到临江首富,8.3,46956,20444,26512,45749,19869,25880,14,0,14,114,114,0,30,🟢 自然增长为主
7,238377,祖宗模拟器,9.1,4185422,4164018,21404,3228052,3208983,19069,57839,57636,203,64247,64247,0,0,✅ 自然增长
8,884085,花掉马斯克的金钱,7.4,354980,334480,20500,347899,327792,20107,180,177,3,55,44,11,30,🟢 自然增长为主
9,165287,Phigros,9.5,54962416,54945286,17130,18619206,18612813,6393,105123,105114,9,49397,49397,0,25,🟢 自然增长为主
10,837252,崇祯直聘：明末官场沉浮模拟器,9.6,415699,399673,16026,385750,370510,15240,4144,4100,44,0,0,0,0,✅ 自然增长
11,330259,三角洲行动,5.5,21030057,21014521,15536,34613406,34586521,26885,52188,52181,7,3624017,3624029,-12,15,🟢 自然增长为主
12,656640,我独自生活,9.0,3297372,3282817,14555,2813525,2798801,14724,9317,9296,21,119388,119388,0,0,✅ 自然增长
13,866257,塔塔冒险队,6.5,84818,70636,14182,85900,71373,14527,330,270,60,11609,11628,-19,0,✅ 自然增长
14,890876,崇祯模拟器,7.1,51082,37062,14020,48156,34456,13700,134,129,5,0,0,0,15,🟢 自然增长为主
15,62448,光·遇,7.9,45115726,45102739,12987,22357450,22351962,5488,138534,138516,18,1082065,1082067,-2,0,✅ 自然增长
16,774146,卧龙无敌,8.2,12520,0,12520,11758,11448,310,24,22,2,11710,11754,-44,70,🔴 高概率广告导入
17,354563,完蛋！我被美女包围了！,7.1,5869824,5857662,12162,5810183,5799731,10452,7251,7250,1,1517361,1517364,-3,30,🟢 自然增长为主
18,45213,心动小镇,8.6,60919227,60907438,11789,39494941,39489152,5789,249093,249042,51,2402617,2402634,-17,0,✅ 自然增长
19,168332,原神,7.9,91952973,91941333,11640,38902250,38896918,5332,506242,506227,15,3114691,3114694,-3,0,✅ 自然增长
20,206776,蛋仔派对,7.8,40452347,40441205,11142,38685964,38673867,12097,50567,50550,17,249508,249510,-2,0,✅ 自然增长
21,911108,奖来：彩票中了7000万之后的人生启动！,7.6,26551,15425,11126,25431,14703,10728,48,38,10,10,10,0,15,🟢 自然增长为主
22,70253,明日方舟,8.1,34180005,34169189,10816,12598318,12594334,3984,196532,196520,12,576075,576075,0,5,✅ 自然增长
23,760944,魂坠深境,8.7,368360,358458,9902,329013,319487,9526,7146,6983,163,73020,73027,-7,0,✅ 自然增长
24,234280,鸣潮,7.1,23580326,23570514,9812,13426533,13423209,3324,155586,155571,15,4395941,4395972,-31,5,✅ 自然增长
25,176937,金铲铲之战,6.4,15977649,15968099,9550,30430784,30406082,24702,38741,38721,20,1310837,1310837,0,0,✅ 自然增长
26,239372,燕云十六声,7.1,15192893,15183934,8959,10603901,10598676,5225,39256,39234,22,2167921,2167936,-15,0,✅ 自然增长
27,720041,潜水员戴夫,8.9,2564216,2555257,8959,3133858,3128007,5851,10857,10848,9,1535184,1535197,-13,0,✅ 自然增长
28,2301,王者荣耀,5.0,53567763,53558928,8835,98258958,98219799,39159,371854,371824,30,4327,4327,0,0,✅ 自然增长
29,758056,开局五个亿,6.2,662052,653262,8790,582202,574046,8156,355,354,1,42953,42953,0,30,🟢 自然增长为主
30,281223,诡秘之主,7.0,2033071,2024805,8266,3013570,3010388,3182,19122,19065,57,2264480,2264827,-347,0,✅ 自然增长
31,12492,阴阳师,7.4,14235445,14227266,8179,5139210,5135982,3228,59318,59312,6,9637,9637,0,25,🟢 自然增长为主
32,714123,超自然行动组,7.1,18282034,18273889,8145,12689922,12685593,4329,41239,41198,41,2807,2807,0,0,✅ 自然增长
33,58881,香肠派对,8.6,275137294,275129341,7953,43334607,43333178,1429,731070,731054,16,850336,850337,-1,5,✅ 自然增长
34,902912,穿越80年代,8.0,59814,51894,7920,60082,52149,7933,246,236,10,0,0,0,0,✅ 自然增长
35,907735,吃点·外卖模拟器,9.2,62826,54937,7889,61041,53459,7582,172,160,12,0,0,0,0,✅ 自然增长
36,49995,第五人格,7.3,30193314,30185793,7521,22790655,22785888,4767,94882,94871,11,1531327,1531327,0,0,✅ 自然增长
37,224267,崩坏：星穹铁道,7.5,32607434,32600084,7350,19696315,19693529,2786,130862,130829,33,4293994,4294012,-18,0,✅ 自然增长
38,54031,植物大战僵尸2,6.1,15642350,15635024,7326,10150065,10144459,5606,26183,26166,17,0,0,0,0,✅ 自然增长
39,234493,绝区零,6.7,17844032,17836717,7315,14091746,14089007,2739,114343,114327,16,7222081,7222126,-45,5,✅ 自然增长
40,922296,打造国际都市,8.7,22794,15644,7150,22150,15136,7014,174,152,22,0,0,0,0,✅ 自然增长
