rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,784122,闪耀吧！噜咪,8.7,94204,0,94204,329095,308380,20715,1167,1131,36,302059,301518,541,35,🟢 自然增长为主
2,43639,我的世界：移动版,6.6,68742230,68714967,27263,40074343,40063275,11068,125520,125517,3,473135,473135,0,30,🟢 自然增长为主
3,243110,王者万象棋,6.7,635801,617905,17896,2247680,2158317,89363,3987,3873,114,1184686,1184938,-252,0,✅ 自然增长
4,168332,原神,7.9,92137062,92121236,15826,38963146,38958182,4964,506348,506330,18,3114654,3114658,-4,5,✅ 自然增长
5,766061,宝石战争,8.3,79728,65079,14649,80479,74422,6057,521,452,69,73343,73554,-211,0,✅ 自然增长
6,165287,Phigros,9.5,55161208,55147856,13352,18692104,18687121,4983,105185,105187,-2,49397,49397,0,60,🟡 可能有广告
7,62448,光·遇,7.9,45245482,45233825,11657,22412120,22407711,4409,138642,138635,7,1082050,1082051,-1,25,🟢 自然增长为主
8,864528,秘境佣兵团,7.6,10749,0,10749,9141,8690,451,38,37,1,4043,4045,-2,70,🔴 高概率广告导入
9,330259,三角洲行动,5.5,21175285,21165009,10276,34813568,34798716,14852,52400,52411,-11,3623917,3623925,-8,50,🟡 可能有广告
10,45213,心动小镇,8.6,61059708,61050557,9151,39556192,39551739,4453,249407,249378,29,2402510,2402529,-19,0,✅ 自然增长
11,206776,蛋仔派对,7.8,40591284,40582296,8988,38821544,38813157,8387,50653,50649,4,249498,249498,0,15,🟢 自然增长为主
12,2301,王者荣耀,5.0,53668192,53659603,8589,98459144,98444628,14516,371973,371955,18,4327,4327,0,0,✅ 自然增长
13,58881,香肠派对,8.6,275236136,275228145,7991,43356904,43355408,1496,731085,731087,-2,850335,850335,0,60,🟡 可能有广告
14,234280,鸣潮,7.1,23668049,23660288,7761,13458472,13455777,2695,155658,155656,2,4395721,4395743,-22,40,🟡 可能有广告
15,12492,阴阳师,7.4,14392555,14384897,7658,5201048,5197284,3764,59414,59406,8,9636,9636,0,0,✅ 自然增长
16,224267,崩坏：星穹铁道,7.5,32685353,32677821,7532,19725060,19722775,2285,131114,131037,77,4293870,4293884,-14,0,✅ 自然增长
17,239372,燕云十六声,7.1,15270139,15263186,6953,10642183,10639016,3167,39397,39370,27,2167743,2167764,-21,0,✅ 自然增长
18,714123,超自然行动组,7.0,18382259,18375345,6914,12743955,12740546,3409,41590,41561,29,2806,2806,0,0,✅ 自然增长
19,753430,乱轰三国（TapTap测试版）,8.9,6793,0,6793,6937,6927,10,86,86,0,3242,3240,2,90,🔴 高概率广告导入
20,714119,异环,7.1,8667652,8660874,6778,9420232,9418370,1862,63437,63451,-14,6284790,6284944,-154,60,🟡 可能有广告
21,49995,第五人格,7.3,30277042,30270274,6768,22839944,22836302,3642,94915,94911,4,1531321,1531322,-1,15,🟢 自然增长为主
22,176937,金铲铲之战,6.4,16050927,16044263,6664,30534742,30525245,9497,38875,38867,8,1310821,1310822,-1,0,✅ 自然增长
23,760944,魂坠深境,8.7,433833,427309,6524,394055,388104,5951,8392,8268,124,72960,72971,-11,0,✅ 自然增长
24,213181,深空之眼,8.7,8453727,8447507,6220,3979919,3978672,1247,164766,164751,15,653247,653247,0,5,✅ 自然增长
25,54031,植物大战僵尸2,6.2,15706102,15700416,5686,10200007,10195968,4039,26156,26155,1,0,0,0,30,🟢 自然增长为主
26,70253,明日方舟,8.1,34250963,34245423,5540,12627861,12625562,2299,196557,196556,1,576071,576071,0,30,🟢 自然增长为主
27,762269,燃烧纪元,8.3,207040,201620,5420,166991,164195,2796,1241,1136,105,55468,55480,-12,0,✅ 自然增长
28,234493,绝区零,6.7,17926286,17921017,5269,14123280,14121284,1996,114450,114443,7,7221763,7221808,-45,5,✅ 自然增长
29,34751,元气骑士,8.6,38451275,38446009,5266,20650152,20647299,2853,148134,148134,0,28380,28380,0,50,🟡 可能有广告
30,281223,诡秘之主,6.9,2095647,2090660,4987,3035628,3034385,1243,19429,19407,22,2261145,2261595,-450,0,✅ 自然增长
31,221062,重返未来：1999,7.3,11007159,11002192,4967,6322848,6321638,1210,56005,56019,-14,1624125,1624130,-5,40,🟡 可能有广告
32,892953,高三最后300天,9.4,636744,631910,4834,614556,610087,4469,2923,2918,5,0,0,0,0,✅ 自然增长
33,722210,无畏契约：源能行动,7.7,8674172,8669379,4793,17274743,17267146,7597,18398,18394,4,3843280,3843298,-18,15,🟢 自然增长为主
34,194610,泰拉瑞亚,8.9,18603185,18598740,4445,8175475,8174247,1228,116389,116381,8,1266656,1266658,-2,5,✅ 自然增长
