rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,209448,纯白和弦,7.0,440483,0,440483,364257,364114,143,4116,4114,2,133988,133981,7,80,🔴 高概率广告导入
2,748031,伊莫,8.1,86857,0,86857,1930681,1920384,10297,5403,5306,97,1937875,1933489,4386,30,🟢 自然增长为主
3,43639,我的世界：移动版,6.6,68964954,68937630,27324,40167107,40155936,11171,125946,125924,22,473134,473134,0,15,🟢 自然增长为主
4,784122,闪耀吧！噜咪,7.7,295961,277905,18056,456652,442409,14243,4626,4371,255,300042,300226,-184,0,✅ 自然增长
5,165287,Phigros,9.5,55278024,55261596,16428,18737460,18731203,6257,105324,105306,18,49395,49396,-1,5,✅ 自然增长
6,762448,酱游记,9.5,14682,0,14682,13628,13382,246,200,199,1,1287,1128,159,70,🔴 高概率广告导入
7,168332,原神,7.9,92232881,92218448,14433,38997863,38992703,5160,506575,506556,19,3114632,3114638,-6,5,✅ 自然增长
8,45213,心动小镇,8.6,61133116,61122835,10281,39587071,39582570,4501,249905,249882,23,2402450,2402457,-7,0,✅ 自然增长
9,330259,三角洲行动,5.5,21239826,21229551,10275,34916440,34901090,15350,52512,52505,7,3623862,3623871,-9,15,🟢 自然增长为主
10,243110,王者万象棋,6.6,706016,695788,10228,2636081,2573824,62257,4370,4359,11,1183824,1183970,-146,0,✅ 自然增长
11,62448,光·遇,7.9,45318281,45308160,10121,22443938,22439466,4472,138707,138700,7,1082042,1082043,-1,15,🟢 自然增长为主
12,206776,蛋仔派对,7.8,40667005,40657104,9901,38894647,38885607,9040,50877,50864,13,249495,249496,-1,0,✅ 自然增长
13,34751,元气骑士,8.6,38484135,38474655,9480,20667717,20663284,4433,148163,148144,19,28380,28380,0,0,✅ 自然增长
14,934066,去你的岛,9.4,28146,18794,9352,26427,17740,8687,173,135,38,0,0,0,0,✅ 自然增长
15,933254,人生模拟器,8.9,63624,54823,8801,61556,53177,8379,116,99,17,0,0,0,0,✅ 自然增长
16,224267,崩坏：星穹铁道,7.5,32728486,32719909,8577,19740759,19738089,2670,131429,131363,66,4293795,4293807,-12,0,✅ 自然增长
17,2301,王者荣耀,5.0,53720571,53712263,8308,98557163,98542014,15149,372044,372041,3,4327,4327,0,15,🟢 自然增长为主
18,58881,香肠派对,8.6,275304517,275296319,8198,43370294,43368675,1619,731162,731154,8,850331,850332,-1,25,🟢 自然增长为主
19,176937,金铲铲之战,6.4,16086117,16078342,7775,30583621,30574150,9471,38963,38951,12,1310809,1310812,-3,0,✅ 自然增长
20,813197,塔尔战纪,8.6,7706,0,7706,8733,8481,252,35,32,3,8587,8658,-71,55,🟡 可能有广告
21,234280,鸣潮,7.1,23714232,23707012,7220,13474439,13472045,2394,155837,155807,30,4395590,4395612,-22,0,✅ 自然增长
22,239372,燕云十六声,7.1,15311560,15304411,7149,10661463,10658202,3261,39480,39461,19,2167649,2167670,-21,0,✅ 自然增长
23,730301,蜀山幻想志,8.5,7138,0,7138,8331,7400,931,73,59,14,6924,6956,-32,20,🟢 自然增长为主
24,714123,超自然行动组,7.1,18437410,18430406,7004,12773938,12770295,3643,41795,41782,13,2806,2806,0,0,✅ 自然增长
25,49995,第五人格,7.3,30321819,30315198,6621,22866546,22862609,3937,94956,94951,5,1531314,1531317,-3,15,🟢 自然增长为主
