rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,43639,我的世界：移动版,6.5,67382313,67271005,111308,39479540,39430309,49231,124318,124203,115,473139,473141,-2,0,✅ 自然增长
2,281223,诡秘之主,8.0,1647436,1559308,88128,2836517,2790330,46187,30752,28863,1889,2274568,2275823,-1255,0,✅ 自然增长
3,165287,Phigros,9.5,54432901,54369036,63865,18410291,18384933,25358,104729,104677,52,49397,49397,0,25,🟢 自然增长为主
4,206776,蛋仔派对,7.8,40091560,40054484,37076,38272427,38226043,46384,49905,49856,49,249524,249526,-2,0,✅ 自然增长
5,815993,TapAim,7.1,4304817,4268185,36632,3077688,3053298,24390,1272,1264,8,29521,29521,0,30,🟢 自然增长为主
6,45213,心动小镇,8.6,60534326,60498113,36213,39336754,39321081,15673,247198,247051,147,2402839,2402853,-14,0,✅ 自然增长
7,58881,香肠派对,8.6,274843941,274813346,30595,43263201,43255564,7637,730866,730844,22,850338,850338,0,25,🟢 自然增长为主
8,168332,原神,7.9,91689220,91664270,24950,38783293,38771749,11544,505725,505670,55,3114765,3114773,-8,0,✅ 自然增长
9,241790,Phigrim（TapTap测试版）,8.0,4796365,4772675,23690,3093198,3079000,14198,4770,4762,8,374902,374905,-3,15,🟢 自然增长为主
10,714123,超自然行动组,7.1,18058828,18037330,21498,12545540,12529724,15816,40000,39891,109,2808,2808,0,0,✅ 自然增长
11,62448,光·遇,7.9,44854618,44833822,20796,22227756,22215637,12119,137910,137869,41,1082085,1082088,-3,0,✅ 自然增长
12,714119,异环,7.1,8382416,8362195,20221,9307754,9299818,7936,62902,62863,39,6287695,6287838,-143,5,✅ 自然增长
13,330259,三角洲行动,5.5,20763001,20744211,18790,34146855,34099661,47194,51395,51337,58,3624220,3624248,-28,0,✅ 自然增长
14,892953,高三最后300天,9.4,376101,357470,18631,365146,347184,17962,2069,1977,92,0,0,0,0,✅ 自然增长
15,234280,鸣潮,7.1,23390571,23373202,17369,13357698,13351574,6124,155172,155134,38,4396381,4396415,-34,5,✅ 自然增长
16,2301,王者荣耀,5.0,53387566,53371779,15787,97754892,97707508,47384,371235,371166,69,4327,4327,0,0,✅ 自然增长
17,239372,燕云十六声,7.1,15011698,14997100,14598,10515910,10508007,7903,38849,38825,24,2168236,2168275,-39,0,✅ 自然增长
18,278604,米加小镇世界,7.5,10332722,10318420,14302,4889772,4881746,8026,19685,19642,43,0,0,0,0,✅ 自然增长
19,884591,变色龙躲猫猫,8.6,489986,475710,14276,353869,343787,10082,1157,1111,46,8829,8543,286,0,✅ 自然增长
20,49995,第五人格,7.3,30033385,30019171,14214,22678712,22668040,10672,94617,94581,36,1531334,1531335,-1,0,✅ 自然增长
21,722210,无畏契约：源能行动,7.7,8461906,8447828,14078,16870781,16840190,30591,18214,18191,23,3843761,3843792,-31,0,✅ 自然增长
22,852992,大侠闯天下,8.1,12454,0,12454,60955,57924,3031,228,216,12,56027,56009,18,25,🟢 自然增长为主
23,798699,完蛋！我被男同学包围了,8.7,302880,290539,12341,334890,322644,12246,1699,1668,31,6120,6013,107,0,✅ 自然增长
24,884085,花掉马斯克的金钱,7.4,243314,230985,12329,239289,227181,12108,144,135,9,0,0,0,15,🟢 自然增长为主
25,224267,崩坏：星穹铁道,7.5,32388728,32376459,12269,19619698,19614568,5130,130003,129974,29,4294264,4294279,-15,0,✅ 自然增长
26,378464,菜鸡梦想家,8.8,328894,316794,12100,536167,532829,3338,5212,5140,72,505223,505406,-183,0,✅ 自然增长
27,223265,初音未来：缤纷舞台,7.8,5760247,5748362,11885,4185044,4179031,6013,13306,13287,19,1323597,1323611,-14,0,✅ 自然增长
28,70056,和平精英,7.1,55390963,55380562,10401,84598874,84556115,42759,197777,197760,17,2231622,2231622,0,0,✅ 自然增长
29,234493,绝区零,6.7,17702787,17692419,10368,14035379,14030959,4420,114113,114090,23,7222761,7222808,-47,0,✅ 自然增长
