rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,748031,伊莫,8.0,229086,86857,142229,1968405,1930681,37724,5646,5403,243,1937071,1937875,-804,20,🟢 自然增长为主
2,775574,万界绮园：逐光筑梦手札,7.2,35220,0,35220,107144,105778,1366,258,206,52,105380,105632,-252,35,🟢 自然增长为主
3,43639,我的世界：移动版,6.6,68992780,68964954,27826,40178467,40167107,11360,125971,125946,25,473134,473134,0,15,🟢 自然增长为主
4,168332,原神,7.9,92248654,92232881,15773,39003210,38997863,5347,506589,506575,14,3114627,3114632,-5,25,🟢 自然增长为主
5,165287,Phigros,9.5,55293535,55278024,15511,18743594,18737460,6134,105330,105324,6,49395,49395,0,25,🟢 自然增长为主
6,784122,闪耀吧！噜咪,7.7,309995,295961,14034,467663,456652,11011,4812,4626,186,299826,300042,-216,0,✅ 自然增长
7,330259,三角洲行动,5.5,21250096,21239826,10270,34932054,34916440,15614,52531,52512,19,3623851,3623862,-11,0,✅ 自然增长
8,45213,心动小镇,8.6,61143203,61133116,10087,39591814,39587071,4743,249935,249905,30,2402428,2402450,-22,0,✅ 自然增长
9,934066,去你的岛,9.3,38152,28146,10006,35706,26427,9279,216,173,43,0,0,0,0,✅ 自然增长
10,206776,蛋仔派对,7.8,40676944,40667005,9939,38903815,38894647,9168,50880,50877,3,249494,249495,-1,15,🟢 自然增长为主
11,62448,光·遇,7.9,45328118,45318281,9837,22448479,22443938,4541,138717,138707,10,1082040,1082042,-2,0,✅ 自然增长
12,774665,古龙群侠录,7.2,9580,0,9580,44277,43634,643,276,271,5,43066,43036,30,40,🟡 可能有广告
13,65322,炼金与魔法,7.6,9250,0,9250,69643,66658,2985,516,457,59,68854,68814,40,0,✅ 自然增长
14,243110,王者万象棋,6.6,715246,706016,9230,2698222,2636081,62141,4410,4370,40,1183657,1183824,-167,0,✅ 自然增长
15,933254,人生模拟器,8.9,72759,63624,9135,70302,61556,8746,129,116,13,0,0,0,0,✅ 自然增长
16,34751,元气骑士,8.6,38493069,38484135,8934,20671729,20667717,4012,148181,148163,18,28380,28380,0,0,✅ 自然增长
17,2301,王者荣耀,5.0,53729326,53720571,8755,98572923,98557163,15760,372058,372044,14,4327,4327,0,0,✅ 自然增长
18,58881,香肠派对,8.6,275312447,275304517,7930,43371894,43370294,1600,731169,731162,7,850331,850331,0,25,🟢 自然增长为主
19,239372,燕云十六声,7.1,15319180,15311560,7620,10664690,10661463,3227,39455,39480,-25,2167622,2167649,-27,50,🟡 可能有广告
20,714123,超自然行动组,7.1,18444350,18437410,6940,12777603,12773938,3665,41819,41795,24,2806,2806,0,0,✅ 自然增长
21,722210,无畏契约：源能行动,7.7,8714738,8707841,6897,17339254,17330545,8709,18394,18384,10,3843162,3843186,-24,0,✅ 自然增长
22,224267,崩坏：星穹铁道,7.5,32735373,32728486,6887,19743182,19740759,2423,131464,131429,35,4293767,4293795,-28,0,✅ 自然增长
23,49995,第五人格,7.3,30328584,30321819,6765,22870634,22866546,4088,94955,94956,-1,1531312,1531314,-2,50,🟡 可能有广告
24,176937,金铲铲之战,6.4,16092873,16086117,6756,30593509,30583621,9888,38972,38963,9,1310808,1310809,-1,0,✅ 自然增长
25,234280,鸣潮,7.1,23720927,23714232,6695,13476935,13474439,2496,155848,155837,11,4395552,4395590,-38,5,✅ 自然增长
26,931333,我在废土整理超市,8.8,22417,15750,6667,20041,14102,5939,85,51,34,491,300,191,0,✅ 自然增长
27,815993,TapAim,7.3,4635217,4628710,6507,3296125,3291633,4492,1368,1364,4,29521,29521,0,15,🟢 自然增长为主
28,714119,异环,7.1,8714882,8708741,6141,9435374,9433377,1997,63485,63450,35,6284062,6284240,-178,0,✅ 自然增长
29,932371,溪流渔场,9.4,22506,16845,5661,20574,15489,5085,61,46,15,5,5,0,0,✅ 自然增长
